"end_date","umc_N","umc_P","sny_N","sny_P","spr_N","spr_P","fish_N","fish_P","umc_N_lwr","umc_P_lwr","sny_N_lwr","sny_P_lwr","spr_N_lwr","spr_P_lwr","fish_N_lwr","fish_P_lwr","umc_N_upr","umc_P_upr","sny_N_upr","sny_P_upr","spr_N_upr","spr_P_upr","fish_N_upr","fish_P_upr","dateOn","TN_wet_kg","TP_wet_kg","start_date","TN_dry_kg","TP_dry_kg","H_N_lwr","H_N","H_N_upr","H_P_lwr","H_P","H_P_upr","mean_tn","mean_tp","min_tn","max_tn","min_tp","max_tp","kg_N","kg_N_lwr","kg_N_upr","kg_P","kg_P_lwr","kg_P_upr","S_N_lwr","S_N","S_N_upr","S_P_lwr","S_P","S_P_upr","DN_N_lwr","DN_N","DN_N_upr","umc_m3","umc_m3_lwr","umc_m3_upr","sny_m3","sny_m3_lwr","sny_m3_upr","spr_m3","spr_m3_lwr","spr_m3_upr","fish_m3","fish_m3_lwr","fish_m3_upr","lmc_m3","lmc_m3_lwr","lmc_m3_upr","Le_m3","Le_m3_lwr","Le_m3_upr","Lw_m3","lake_volume","lake_volume_lwr","lake_volume_upr","resid","resid_upr","resid_lwr","kg_N_est","TN_conc_est","kg_P_est","TP_conc_est","mean_tn_lwr","mean_tp_lwr","kg_N_est_lwr","TN_conc_est_lwr","kg_P_est_lwr","TP_conc_est_lwr","mean_tn_upr","mean_tp_upr","kg_N_est_upr","TN_conc_est_upr","kg_P_est_upr","TP_conc_est_upr"
2019-07-16,1947.98888347997,38.401872293093,17.5688423984535,0.571595442313519,12.2158166057259,0.848114488613391,17.0407847324062,1.24900652808076,727.139416516918,14.2708355921424,7.89068671392986,0.255469319499295,0.200998243172202,0.0137770842412388,1.87645612112826,0.136865146776594,5276.38161735606,103.404963464399,39.4331517467033,1.2808741128258,722.196362828403,47.8490445102568,159.122471023714,11.7811926344693,1562691600,92.1625514082932,0.970005333070123,2019-07-09 17:00:00,373.337768780941,50.4196401436394,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,13152809.2409935,4886550.33942589,35363963.0238329,155375.307345089,68831.3956595889,354456.493002948,80551.0397640381,1472.12885608568,4560299.80871237,239648.330604247,27464.7601800715,2150557.01134162,8818914.81674139,4455629.05889968,17489670.642981,944755.516526908,939401.686507253,949783.68726531,416770.703303993,1499596301.35007,1499600456.9094,1499629141.21944,-6438407.94125251,-2222470.23587879,-26499523.3146874,314748.885361926,209.88907819962,2812.81755525644,1.87571651965538,226,2.5,276361.38591684,184.286486785735,1238.32953096596,0.825757180177892,314,10,496668.626371329,331.200636864927,10069.8416726707,6.71501640738638
2019-07-23,1615.97155085193,30.3291695843618,11.0167351556815,0.384776298046261,10.6781876945781,0.746117752612836,13.0352375360443,0.972040685046398,604.897840787533,11.2720012005636,4.88672731539067,0.170144301827292,0.117686039043963,0.00823038830424843,1.40157889059169,0.104247270315787,4362.35808036569,81.0776537768282,25.0193244967886,0.869935712386298,919.460106455384,66.469921731186,124.403591474556,9.36750956778384,1563292800,0,4.16147502665021,2019-07-16 16:00:00,255.403251742117,43.9318794422773,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,11242788.1652073,4169639.90714161,30244178.8724419,111685.490709902,48829.4130602937,257072.215285334,69842.9590046203,871.525635182983,5943780.02426198,178664.702899241,20115.5002505904,1631806.11514398,6903794.80433283,3481497.34258457,13704577.0518624,852757.151520653,847403.145343759,857562.336221614,141278.204509828,1497439377.69756,1497507526.30466,1497412729.56558,-5151718.70176755,-1305485.99689902,-24973977.459289,315059.285447345,210.398691352551,2829.21095208263,1.88936593642461,226,2.5,276531.713837595,184.673008568467,1260.10263716749,0.841519917847273,314,10,497698.401078322,332.351185109883,10086.6923381683,6.73565385214379
2019-07-30,1389.71636168133,24.8350496645535,7.23562662493329,0.271760258372073,9.63392631842508,0.677193647342422,10.3816721324349,0.787228003734893,520.112380290065,9.19559188781599,3.16165810342342,0.118675903670322,0.0684975636616337,0.00489598613978144,1.07940260885374,0.0818905960724637,3756.83636267595,66.3211084576134,16.7334711690231,0.623125359278299,1128.16121304944,86.3646385504355,102.764852281436,7.85570884492625,1563886800,0,5.06363070233189,2019-07-23 13:00:00,114.250072526283,25.129807131718,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,9991399.68796863,3706058.19337488,26910969.6311094,83974.7120874651,36281.1661434497,196466.545871639,63165.7358662836,535.914043453677,7438571.18555907,139135.1548037,15237.2702201206,1333103.50459289,5645541.57165279,2845426.81418916,11223627.9010757,1048212.66996419,1041260.0923964,1054749.40080005,14127.8204509828,1496275366.56227,1496189524.88893,1496159077.63135,-4935343.0393699,-1144486.11331726,-24899475.1108383,315256.014797977,210.693848099822,2824.12662755254,1.88743776089894,226,2.5,276590.12606825,184.866790038219,1262.30264603632,0.84369547657642,314,10,498969.05601587,333.493215742779,10105.4506347077,6.7541247058643
2019-08-06,1216.26792403496,20.8021652540397,4.96763873766519,0.199305575857298,8.8723419500723,0.62653498053078,8.46316800066021,0.651300694945731,456.710886009029,7.71280464540831,2.11254602462312,0.0851014634891795,0.0421342218759091,0.00306846738334219,0.839057616504,0.064850942897497,3280.04602955506,55.2438391232207,11.811273603798,0.467318615598551,1190.71115839386,92.1555058464476,87.8862412524899,6.80182656702536,1564491600,0,5.06363070233189,2019-07-30 13:00:00,144.104761970883,17.0448699111769,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,8987226.94823288,3340163.7957311,24199229.6285363,65146.3264423274,27634.290799284,154900.312194146,57626.2188413866,328.07868608655,8016693.30844437,111399.880412077,11671.2836968592,1096843.91323248,4720754.0316148,2382020.77470147,9378909.58550814,1177099.7856794,1168749.70217486,1184315.73629974,0,1494938072.39246,1494904911.1638,1494900144.97568,-2509294.13413458,937746.151752793,-21972049.9769095,315497.383049817,211.043780927262,2808.42180525223,1.87862083193701,226,2.5,276698.792669669,185.09516745961,1255.26727201628,0.839699745989857,314,10,500437.907762814,334.762367843997,10121.880050528,6.77091898952152
2019-08-13,1076.20391913919,17.9437450345207,3.83396353648821,0.159838086345829,8.09078964869779,0.572760095291397,7.22666012662322,0.560672593261331,403.858514789889,6.6360081386857,1.60065661966069,0.0672176760274799,0.0298588775420598,0.00219873918792239,0.697601149667132,0.05447801879077,2896.98639662707,47.4763772807407,9.2405172289505,0.378833458758655,1149.84599311657,89.0147651735221,77.0786159318342,6.00578480739971,1565107200,163.146377279023,5.06363070233189,2019-08-06 16:00:00,207.675368259453,9.89144346075241,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,8094760.46037932,3006894.71160289,21780444.5989521,53998.360239952,22653.4140683997,129583.439364269,52273.6473461802,235.633335470573,7753153.9812704,93809.0870595684,9545.13011147948,953185.708509168,4075114.90836548,2056231.54736824,8071805.4181501,809044.719277189,803869.743574941,814008.469952365,381451.152176536,1495752323.81496,1495837303.02749,1495666918.09947,-5334713.197269,-2052833.9994015,-23767775.1145998,315956.858719832,211.236080793092,2783.77579946534,1.86112082538187,226,2.5,277040.416274049,185.228684890672,1240.25563164403,0.829232509347746,314,10,502121.839336701,335.679447437522,10128.056094826,6.77082733150682
2019-08-20,1091.27445778137,18.1776046349412,3.87303888058544,0.161587323968299,8.21698153025635,0.581740447293764,7.31042319175068,0.567360511394673,409.013665259544,6.71171862120528,1.62573638569643,0.0682481134728051,0.0305816172509051,0.00225116580267774,0.710768167852015,0.0554982493060187,2946.28851580066,48.2795602022585,9.38030023306158,0.384555749293639,1170.75228390051,90.6332154494043,77.9515587103443,6.07629239358791,1565701200,76.8285712703979,3.73846825652348,2019-08-13 13:00:00,184.274033432867,9.49249240700594,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,8222319.90705506,3056520.51529827,22094522.1849031,54569.3634774928,22912.6549631002,130941.720998245,53112.8088598455,241.372949225057,7894120.4172935,94987.0087769325,9822.60047024587,963969.623722593,4130651.74320876,2080698.00692225,8194480.48558131,776280.423642476,771859.331463968,781228.360293051,324939.870372604,1494209743.69725,1494181532.90506,1494174762.85042,-4221303.51400052,-897483.690577211,-22678788.9416058,316309.419790563,211.690106509339,2757.62491106479,1.84554070986136,226,2.5,277272.708424706,185.569128403531,1223.59892602787,0.818912858422016,314,10,503718.690918611,337.120142248885,10134.1760168448,6.78242622711407
2019-08-27,1007.22571954368,16.1846563877593,2.94144874058489,0.129735625766675,7.87602326834921,0.559550724815043,6.39051823019655,0.501744006613217,377.739352430851,5.96642831189912,1.20204516140353,0.0536096718821061,0.0204215170295164,0.00152752853862916,0.593931906152179,0.0470818135477226,2722.54659050673,42.971746887378,7.28678034744978,0.314356565989845,1219.53362906303,94.4095994264628,71.5114963031134,5.62420963427581,1566306000,69.7164222572857,1.93064464857206,2019-08-20 13:00:00,109.534081070806,8.19147192282695,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,7776805.12109175,2883576.05188285,20975714.2146675,45888.1572936731,18979.2757812094,112218.792314081,50974.20037516,163.89475934735,8223042.1013474,81794.5551280536,8031.98964128878,877543.880831258,3681505.20495417,1856940.16312558,7318294.99141314,801715.560441119,796375.290583873,807389.503086543,169533.845411794,1493831436.97494,1493935528.93487,1493839158.83551,-4419433.29825515,-1245803.58105695,-23014248.5638224,316587.092024722,211.929595393856,2727.14584665183,1.8256048032932,226,2.5,277432.13766148,185.717542628717,1203.26901774824,0.805487666213155,314,10,505333.770269635,338.256745677588,10140.9810000428,6.78809814990676
2019-09-03,839.568031372224,13.1013697103458,2.09734919021531,0.0967477079017099,6.77247855384997,0.482431794553222,5.11438207106335,0.405190360590912,315.177591417883,4.82689016107009,0.836807505559221,0.0392023377979668,0.0131442980133293,0.00099534328446605,0.4597560272948,0.0368725214829208,2265.20162857879,34.6516788859713,5.2932801151891,0.237922159176622,1121.97093873799,86.8568314723458,59.1832974644629,4.68880097231578,1566936000,6.98184297080325,1.93064464857206,2019-08-27 20:00:00,79.5444828997765,4.40596255540159,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,6613779.73057654,2461017.41187104,17820497.119381,35525.290040338,14491.139438822,88331.0661542355,43671.646842811,105.945641301072,7565198.7332396,64716.8027454404,6165.20493330839,724803.156958088,2985679.09504144,1506411.40365695,5914345.35974326,813832.749788625,808233.230666177,819770.529114311,49447.3715784398,1493053778.79059,1493153648.71112,1493020324.85822,-1007232.03949357,1757430.52639013,-17508630.8622937,316747.743079192,212.147578056944,2690.9350233322,1.80230281156511,226,2.5,277500.598012525,185.865251391589,1178.29618950996,0.789203046932299,314,10,506753.473526202,339.384680179182,10136.6044339422,6.78872160456629
2019-09-10,846.515748757164,13.0914627405704,2.03470191384529,0.094750831384574,6.90144820153044,0.492012097437929,5.11022424046587,0.405814971423563,318.564543379661,4.836445140899,0.812646326374274,0.0383967640741362,0.012615823284392,0.00095634302500196,0.452556231857181,0.0364084633596107,2290.74259150972,34.7440120503722,5.16992610673486,0.234430533566426,1170.75228390051,90.6332154494043,59.7569581428658,4.74405385558443,1567515600,153.557061789897,1.93064464857206,2019-09-03 13:00:00,133.815611727978,3.11182346158496,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,6719077.14283832,2496728.04782481,18081730.6425532,35117.9033549845,14270.3635388888,87628.2075673396,44427.6903035765,103.025126069268,7894120.4172935,64348.1561014552,6061.51713329143,728796.793785812,2988785.46873718,1507844.98105986,5933819.69817041,700537.981749979,696570.984256027,705613.54649237,988947.431568796,1495054175.74805,1495159179.40728,1494994337.82375,-5840085.89982995,-2890475.76228605,-22961979.5510458,317114.940527299,212.109330665981,2653.4923356297,1.77484694446074,226,2.5,277772.770811339,185.801888196908,1152.06086847812,0.770612195197451,314,10,508435.515458875,340.054438658787,10134.7183139587,6.77835407329429
2019-09-17,987.702403069318,15.9110456818844,2.93466306260356,0.128492364355881,7.68833448175298,0.546166249527011,6.29427705622101,0.493673591097081,371.302055969171,5.88526961537158,1.20487992980595,0.0532600186641494,0.021043433941421,0.00156844834916934,0.591050344428466,0.0467572816238764,2679.62326467826,42.4576624729839,7.25922745722745,0.311134604161303,1191.65857468445,92.2516657252865,69.6758570169357,5.47941107806614,1568120400,26.224556380693,0.507889954086834,2019-09-10 13:00:00,143.695539514243,14.496266796257,2.21375,20.32625,144.095,0,2.8175,31.99875,NA,NA,0,0,0,0,NA,0,0,NA,0,0,49,140,209,35,54,129,8,27,53,7594974.9268187,2829903.75463866,20402779.6441118,45232.5966979024,18671.3885982947,110324.842031113,49566.4303152218,166.170659807962,8035086.8533166,80506.8821159552,8013.75346102753,859646.855825073,3608271.92966813,1817198.07657994,7158436.33924596,535748.186219771,533158.683731479,538851.607906229,35319.551127457,1493376684.7219,1493338990.10434,1493405556.48134,-3309944.55449727,-257999.367133832,-21280902.4072699,317377.458407001,212.523378497839,2627.98923985775,1.75976313728719,226,2.5,277923.384853055,186.100408992638,1136.65152559357,0.761113764884919,314,10,510001.48942759,341.517560853317,10144.698678471,6.7932992747763
