"start_date","end_date","umc_m3","umc_m3_lwr","umc_m3_upr","sny_m3","sny_m3_lwr","sny_m3_upr","spr_m3","spr_m3_lwr","spr_m3_upr","fish_m3","fish_m3_lwr","fish_m3_upr","lmc_m3","lmc_m3_lwr","lmc_m3_upr","Le_m3","Le_m3_lwr","Le_m3_upr","Lw_m3","lake_volume","lake_volume_lwr","lake_volume_upr","resid","resid_upr","resid_lwr"
2015-07-28 17:00:00,2015-08-04,7423941.77291978,2763829.09801382,19964611.4757668,43899.2193802912,18138.7017805197,107182.876817476,48375.8614988673,157.309356067513,7847131.6052858,78305.0282421599,7704.86690075768,837281.072291106,3514017.23019152,1771555.26476271,6975379.62795632,1054594.65962124,1046502.62160204,1062221.88804507,0,1493845276.24754,1493768287.81404,1493903891.21575,-3561486.34774835,-558770.093026424,-21111320.8076697
2015-08-04 16:00:00,2015-08-11,6980200.0591039,2601256.50432642,18807969.5975598,38210.0634117252,15611.3778073243,94393.0667741342,45735.1436982737,118.148306426088,7847131.6052858,69323.8700132776,6668.01488289215,758957.796108584,3180734.01737302,1606534.04997382,6299414.47670001,894812.03325081,888141.681636371,901179.726125926,0,1493309699.89202,1493375572.52053,1493316893.21241,-3362704.77598345,-389690.390482943,-20541974.2027523
2015-08-11 15:00:00,2015-08-18,6923383.89990495,2575135.36105789,18653192.049819,36753.3663345598,14987.6624916112,91320.3094632058,45579.3483734445,105.661277663756,7988098.0413089,67087.7493874102,6363.31416190268,746066.565744117,3104621.55856547,1566283.95697475,6160404.05659317,785118.79355286,779616.786213974,790959.502214277,28255.6409019656,1493004918.20164,1493141456.18068,1493056181.13564,-4055932.14477385,-1188852.79175213,-21435071.3984396
2015-08-18 17:00:00,2015-08-25,6279454.42201907,2335571.19798704,16863293.4894753,30273.2346892646,12103.0006876461,76617.7910891122,41773.873393648,75.6889951397673,7847131.6052858,56317.3873006086,5125.97435511782,659771.792519104,2683290.48174753,1351654.00530888,5319050.98933005,894614.31786348,888017.68947944,901358.137181593,63575.1920294226,1492160305.70965,1492261953.83067,1492146275.24059,-2779162.84103095,53690.6274638104,-19166171.1887273
2015-08-25 16:00:00,2015-09-01,6146282.03186694,2282020.24182372,16517887.4186743,28230.4893118857,11190.3951071691,71939.6567242179,40979.5014001722,63.316970942941,7988098.0413089,53083.0781938704,4721.91397882379,631083.542574391,2564565.57623363,1294277.13490632,5082150.51010749,578001.848059776,574520.647595784,582228.089166831,247236.857892199,1492274632.17844,1492385763.38583,1492376745.22732,-3267489.98601179,-745266.285900658,-19727831.3649496
2015-09-01 18:00:00,2015-09-08,5918401.86432569,2201614.5748986,15894213.0290765,26967.400875362,10673.0562086726,69110.7133827467,39407.518759774,59.8985450514498,7753153.9812704,50751.6506234804,4517.9460934517,609570.065646073,2457492.20492199,1237913.76951483,4867399.85222462,469435.936100248,467478.71486172,471866.606143879,699327.112323649,1492380386.7268,1492449798.93878,1492307913.88469,-3921043.10149576,-1350723.5417429,-19866748.379351
2015-09-08 15:00:00,2015-09-15,5967153.87462469,2215300.56452176,16075237.5261578,26808.255858863,10613.823369934,68893.1105259235,39786.6525139008,57.7173565215398,7894120.4172935,50642.3368229002,4468.08202935191,617437.450918235,2459568.21750078,1241135.04140255,4878202.5098498,658758.033627447,654528.727776269,663821.463017673,134214.294284337,1492267271.03119,1492269159.00276,1492167990.44664,-3458330.42476649,-795399.997903155,-19526268.5182323
2015-09-15 15:00:00,2015-09-22,5783662.86935625,2143685.19744392,15585868.8613699,25045.3941517128,9831.85278928116,64795.3992256223,38793.5102164349,50.8723641823034,7894120.4172935,47626.0504592013,4161.16106035435,578924.889456324,2341038.00517216,1183257.20664805,4641515.49987732,427518.972380853,425356.152308905,429834.380388907,91830.8329313882,1491909219.7694,1491990769.31084,1491841581.16112,-3621369.16815174,-1037712.8682222,-19554758.2981304
2015-09-22 15:00:00,2015-09-29,5559057.57029882,2066069.16919652,14956823.9255793,22966.4056345135,8942.55083566739,60033.1632150059,37461.5880597483,41.4448922330544,7894120.4172935,44082.1218500237,3739.27029649003,551631.308465861,2198033.81905619,1109883.40191701,4359761.75630413,640092.440854445,635737.378054915,644893.845929145,0,1491506252.28081,1491580201.53272,1491444814.85053,-3240526.20690256,-696011.052168958,-18862447.5971905
2015-09-29 15:00:00,2015-10-06,5299503.26848547,1974092.82390053,14291102.8271813,20403.589902484,7848.81570428989,53960.3723020836,36027.8615371452,32.5585963311898,7988098.0413089,39971.2323834887,3278.49240121235,522501.875931497,2024774.66454811,1021436.56347181,4016118.09195199,600234.18388217,596728.370970782,604750.442970135,0,1491091167.49984,1491175707.14785,1491081975.45361,-2552697.13274841,-77943.1248297599,-18011914.6173017
