CustomerID,OrderID,SampleNumber,Site,Sitecode,CustomerSampleNumber,CollectDate,CollectTime,StartDepth,EndDepth,SampleType,Volume,Matrix,Test,Param,ReportedResult,Qualifier,CorrectedReportedResult,CorrectedQualifier,Results_Units,Method,RDL,OrderComment,Results_Commnt,FieldNotes(2014+),FD Fieldnotes(-2013),FD QCData,FD Labnotes
FMP,FMP05815,FMP05815,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,2/4/2009,12/30/1899 10:00:00,0,0,Deposition-Wet,497.5,Legacy_Deposition,Total Phosphorus,TP,4.512,,4.512,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20090407P Spikes: 105.798; 93.564; 103.212; 102.023 Reps: 3.832; 3.992; 7.633; 7.753; 16.038; 16.598; 5.272; 5.352 Knowns: 104.920; 99.702; 101.248; 106.147; 103.999,
FMP,FMP05818,FMP05818,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,2/13/2009,12/30/1899 10:00:00,0,0,Deposition-Wet,675.8,Legacy_Deposition,Total Phosphorus,TP,3.712,,3.712,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20090407P Spikes: 105.798; 93.564; 103.212; 102.023 Reps: 3.832; 3.992; 7.633; 7.753; 16.038; 16.598; 5.272; 5.352 Knowns: 104.920; 99.702; 101.248; 106.147; 103.999,
FMP,FMP05833,FMP05833,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,2/27/2009,12/30/1899 10:30:00,0,0,Deposition-Wet,1457,Legacy_Deposition,Total Phosphorus,TP,2.511,,2.511,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20090407P Spikes: 105.798; 93.564; 103.212; 102.023 Reps: 3.832; 3.992; 7.633; 7.753; 16.038; 16.598; 5.272; 5.352 Knowns: 104.920; 99.702; 101.248; 106.147; 103.999,
FMP,FMP05836,FMP05836,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,3/6/2009,12/30/1899 10:00:00,0,0,Deposition-Wet,447.3,Legacy_Deposition,Total Phosphorus,TP,4.352,,4.352,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,Not enough sample for pH,QC: 20090407P Spikes: 105.798; 93.564; 103.212; 102.023 Reps: 3.832; 3.992; 7.633; 7.753; 16.038; 16.598; 5.272; 5.352 Knowns: 104.920; 99.702; 101.248; 106.147; 103.999,
FMP,FMP05839,FMP05839,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,3/11/2009,12/30/1899 9:00:00,0,0,Deposition-Wet,336.5,Legacy_Deposition,Total Phosphorus,TP,6.703,,6.703,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20090407P Spikes: 105.798; 93.564; 103.212; 102.023 Reps: 3.832; 3.992; 7.633; 7.753; 16.038; 16.598; 5.272; 5.352 Knowns: 104.920; 99.702; 101.248; 106.147; 103.999,Analyte values may be falsely elevated by a factor of 1.98 (discovered by JW-7Jun13)
FMP,FMP05858,FMP05858,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,3/27/2009,12/30/1899 11:00:00,0,0,Deposition-Wet,909.2,Legacy_Deposition,Total Phosphorus,TP,6.299,,6.299,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090519P Spikes: 107.902, 0, 94.314 Reps: 8.075, 8.004; 21.999, 22.922; 8.999, 8.572 Knowns: 99.604, 98.243, 93.232, 93.476",
FMP,FMP05861,FMP05861,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,4/6/2009,12/30/1899 9:05:00,0,0,Deposition-Wet,1063.3,Legacy_Deposition,Total Phosphorus,TP,4.31,,4.31,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090519P Spikes: 107.902, 0, 94.314 Reps: 8.075, 8.004; 21.999, 22.922; 8.999, 8.572 Knowns: 99.604, 98.243, 93.232, 93.476",
FMP,FMP05879,FMP05879,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,4/13/2009,12/30/1899 13:35:00,0,0,Deposition-Wet,558.9,Legacy_Deposition,Total Phosphorus,TP,14.326,,14.326,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090519P Spikes: 107.902, 0, 94.314 Reps: 8.075, 8.004; 21.999, 22.922; 8.999, 8.572 Knowns: 99.604, 98.243, 93.232, 93.476",
FMP,FMP05904,FMP05904,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,5/8/2009,12/30/1899 9:00:00,0,0,Deposition-Wet,1249.3,Legacy_Deposition,Total Phosphorus,TP,18.589,,18.589,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090519P Spikes: 107.902, 0, 94.314 Reps: 8.075, 8.004; 21.999, 22.922; 8.999, 8.572 Knowns: 99.604, 98.243, 93.232, 93.476",
FMP,FMP05908,FMP05908,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,5/16/2009,12/30/1899 10:30:00,0,0,Deposition-Wet,538,Legacy_Deposition,Total Phosphorus,TP,9.742,,9.742,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20090611A Spikes: 95.830; 95.796 Reps: 7.329; 7.434; 6.210; 5.545 Knowns: 97.035; 98.501; 97.586; 100.110,
FMP,FMP05921,FMP05921,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,5/21/2009,12/30/1899 11:45:00,0,0,Deposition-Wet,126.7,Legacy_Deposition,Total Phosphorus,TP,97.014,E,97.014,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20090611A Spikes: 95.830; 95.796 Reps: 7.329; 7.434; 6.210; 5.545 Knowns: 97.035; 98.501; 97.586; 100.110,Analyte values may be falsely elevated by a factor of 6.8 (discovered by JW-7Jun13)
FMP,FMP05937,FMP05937,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,6/10/2009,12/30/1899 9:30:00,0,0,Deposition-Wet,480.8,Legacy_Deposition,Total Phosphorus,TP,16.352,,16.352,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20090611A Spikes: 95.830; 95.796 Reps: 7.329; 7.434; 6.210; 5.545 Knowns: 97.035; 98.501; 97.586; 100.110,
FMP,FMP05945,FMP05945,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,6/19/2009,12/30/1899 8:30:00,0,0,Deposition-Wet,509.7,Legacy_Deposition,Total Phosphorus,TP,28.156,,28.156,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090625P Spikes: 98.467 Knowns: 105.547, 108.021",
FMP,FMP05954,FMP05954,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,6/24/2009,12/30/1899 11:30:00,0,0,Deposition-Wet,1273,Legacy_Deposition,Total Phosphorus,TP,6.905,,6.905,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090820P Spikes: 104.077, 93.589, 97.137, 99.028 Reps: 8.314, 8.962; 10.981, 10.981; 4.658, 2.487; 4.886, 4.963 Knowns: 99.792, 86.253, 99.792, 99.353, 100.084",
FMP,FMP05971,FMP05971,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/15/2009,12/30/1899 10:10:00,0,0,Deposition-Wet,2593.4,Legacy_Deposition,Total Phosphorus,TP,4.468,,4.468,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090820P Spikes: 104.077, 93.589, 97.137, 99.028 Reps: 8.314, 8.962; 10.981, 10.981; 4.658, 2.487; 4.886, 4.963 Knowns: 99.792, 86.253, 99.792, 99.353, 100.084",
FMP,FMP05990,FMP05990,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/18/2009,12/30/1899 10:30:00,0,0,Deposition-Wet,1680.5,Legacy_Deposition,Total Phosphorus,TP,3.22,,3.22,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20090923P Spikes: 107.451; 103.170 Reps: 2.484; 2.772; 3.304; 3.489; 4.526; 4.666 Knowns: 100.000; 100.000; 100.000; 92.237; 100.000,
FMP,FMP06016,FMP06016,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/1/2009,12/30/1899 12:01:00,0,0,Deposition-Wet,301.3,Legacy_Deposition,Total Phosphorus,TP,32.683,,32.683,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20091215P Spikes: 96.016 Reps: 4.481; 4.481; 4.481; 4.595 Knowns: 101.139; 104.016; 104.200,
FMP,FMP06032,FMP06032,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/23/2009,12/30/1899 10:05:00,0,0,Deposition-Wet,542.9,Legacy_Deposition,Total Phosphorus,TP,9.613,,9.613,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20091215P Spikes: 96.016 Reps: 4.481; 4.481; 4.481; 4.595 Knowns: 101.139; 104.016; 104.200,
FMP,FMP06034,FMP06034,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/29/2009,12/30/1899 9:10:00,0,0,Deposition-Wet,1596.4,Legacy_Deposition,Total Phosphorus,TP,4.139,,4.139,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20091215P Spikes: 96.016 Reps: 4.481; 4.481; 4.481; 4.595 Knowns: 101.139; 104.016; 104.200,
FMP,FMP06051,FMP06051,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,12/2/2009,12/30/1899 10:30:00,0,0,Deposition-Wet,361,Legacy_Deposition,Total Phosphorus,TP,20.072,,20.072,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100119P Spikes: 108.322; 104.408; 103.462 Reps: 6.687; 7.045; 7.720; 8.395; 34.450; 35.602 Knowns: 99.656; 100.874; 104.954; 94.499,
FMP,FMP06062,FMP06062,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,12/16/2009,12/30/1899 10:30:00,0,0,Deposition-Wet,1056.4,Legacy_Deposition,Total Phosphorus,TP,4.106,,4.106,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,pH meter not working,QC: 20100119P Spikes: 108.322; 104.408; 103.462 Reps: 6.687; 7.045; 7.720; 8.395; 34.450; 35.602 Knowns: 99.656; 100.874; 104.954; 94.499,
FMP,FMP06068,FMP06068,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,12/23/2009,12/30/1899 8:30:00,0,0,Deposition-Wet,2229.3,Legacy_Deposition,Total Phosphorus,TP,6.834,,6.834,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100211P Spikes: 97.290; 97.954 Reps: 7.281; 7.205; 669.977; 661.643; 5.865; 4.847 Knowns: 84.743; 100.000; 100.000; 93.042; 100.000,
FMP,FMP06072,FMP06072,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,1/6/2010,12/30/1899 10:30:00,0,0,Deposition-Wet,1930.8,Legacy_Deposition,Total Phosphorus,TP,2.526,,2.526,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100211P Spikes: 97.290; 97.954 Reps: 7.281; 7.205; 669.977; 661.643; 5.865; 4.847 Knowns: 84.743; 100.000; 100.000; 93.042; 100.000,
FMP,FMP06075,FMP06075,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,1/13/2010,12/30/1899 11:00:00,0,0,Deposition-Wet,380.4,Legacy_Deposition,Total Phosphorus,TP,2.527,,2.527,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100211P Spikes: 97.290; 97.954 Reps: 7.281; 7.205; 669.977; 661.643; 5.865; 4.847 Knowns: 84.743; 100.000; 100.000; 93.042; 100.000,
