"age","actual_depth","sed.rate","sed.rate.error","ugP_ugsed","ugP_mgsed","ugN_ugsed","ugN_mgsed"
2022.59,0,NA,NA,0.00245529411764706,2.45529411764706,0.00380877396,3.80877396318166
2020.18,0.25,0.2001,0.013,0.00132125,1.32125,NA,NA
2018.56,0.5,NA,NA,0.00107298850574713,1.07298850574713,NA,NA
2016.94,0.75,NA,NA,0.000975365612648221,0.975365612648221,NA,NA
2015.32,1,NA,NA,0.00107806140350877,1.07806140350877,0.00322653342,3.22653341602787
2013.7,1.25,NA,NA,0.0010575809352518,1.0575809352518,NA,NA
2012.08,1.5,NA,NA,0.00260701081612586,2.60701081612586,0.00284687687,2.84687686537127
2010.46,1.75,NA,NA,0.00280614335971856,2.80614335971856,NA,NA
2008.84,2,0.1155,0.0076,0.00182390243902439,1.82390243902439,0.00291090713,2.91090712923507
2006.20375,2.25,NA,NA,0.00116983606557377,1.16983606557377,NA,NA
2003.5675,2.5,NA,NA,0.0010517626459144,1.0517626459144,0.00237699419,2.37699419295915
2000.93125,2.75,NA,NA,0.000925,0.925,NA,NA
1998.295,3,NA,NA,0.000953507552870091,0.953507552870091,0.00170247876,1.70247875565305
1995.65875,3.25,NA,NA,0.000830797038327526,0.830797038327526,NA,NA
1993.0225,3.5,NA,NA,0.000924006254343294,0.924006254343294,0.00242375326,2.42375325693974
1990.38625,3.75,NA,NA,0.000835688405797101,0.835688405797101,NA,NA
1987.75,4,0.0772,0.0051,0.000992058823529412,0.992058823529412,NA,NA
1984.645,4.25,NA,NA,0.000876611977030353,0.876611977030353,0.00191638736,1.91638736145382
1981.54,4.5,NA,NA,0.000843388312912347,0.843388312912347,0.00223668767,2.23668766999655
1978.435,4.75,NA,NA,0.000745151085930123,0.745151085930123,NA,NA
1975.33,5,NA,NA,0.00082455522971652,0.82455522971652,0.00220005167,2.20005167487685
1972.225,5.25,NA,NA,0.000751117021276596,0.751117021276596,NA,NA
1969.12,5.5,NA,NA,0.00077067000911577,0.77067000911577,NA,NA
1966.015,5.75,NA,NA,0.000792968659315148,0.792968659315148,0.00167240286,1.67240286400248
1962.91,6,0.1191,0.0148,0.000725272479564033,0.725272479564033,NA,NA
1961.27,6.25,NA,NA,0.000788060029282577,0.788060029282577,0.00168228746,1.68228746097815
1959.63,6.5,NA,NA,0.000706668273866924,0.706668273866924,NA,NA
1957.99,6.75,NA,NA,0.000808614130434783,0.808614130434783,0.00128740923,1.28740922711978
1956.35,7,NA,NA,0.000765362694300518,0.765362694300518,NA,NA
1954.71,7.25,NA,NA,0.00086026863084922,0.86026863084922,0.00095111147,0.951111469643431
1953.07,7.5,NA,NA,0.000742110249784668,0.742110249784668,NA,NA
1951.43,7.75,NA,NA,0.000785806145675265,0.785806145675265,0.00090979295,0.909792954205607
1949.79,8,NA,NA,0.000720039028620989,0.720039028620989,NA,NA
1949.51125,8.25,NA,NA,0.000776982394366197,0.776982394366197,0.00076504572,0.765045718109141
1949.2325,8.5,NA,NA,0.000716315352697095,0.716315352697095,NA,NA
1948.95375,8.75,NA,NA,0.000790475746268657,0.790475746268657,0.00072755735,0.727557353873239
1948.675,9,NA,NA,0.000716714995857498,0.716714995857498,NA,NA
1948.39625,9.25,NA,NA,0.000824625287356322,0.824625287356322,0.00074780908,0.747809083131278
1948.1175,9.5,NA,NA,0.000773450946643718,0.773450946643718,NA,NA
1947.83875,9.75,NA,NA,0.000819361080686382,0.819361080686382,0.00076930535,0.769305353550747
1947.56,10,0.4091,0.1721,0.000772578263437685,0.772578263437685,0.00073375908,0.73375908392283
1943.85875,10.25,NA,NA,0.000710591537132988,0.710591537132988,NA,NA
1940.1575,10.5,NA,NA,0.000805945098039216,0.805945098039216,0.00222274243,2.22274243211921
1936.45625,10.75,NA,NA,0.000886321308724832,0.886321308724832,NA,NA
1932.755,11,NA,NA,0.00108931555555556,1.08931555555556,0.0020170956,2.01709559667727
