CustomerID,OrderID,SampleNumber,Site,Sitecode,CustomerSampleNumber,CollectDate,StartDepth,EndDepth,SampleType,Volume,Matrix,Test,Param,ReportedResult,Qualifier,CorrectedReportedResult,CorrectedQualifier,Results_Units,Method,RDL,OrderComment,Results_Commnt,FieldNotes(2014+),FD Fieldnotes(-2013),FD QCData,FD Labnotes,NEW NOTES
FMP,FMP05690,FMP05690,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/7/2008,0,0,Deposition-Dry,950.7,Legacy_Deposition,Total Nitrogen,TPN,180.038,,180.038,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05690,FMP05690,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/7/2008,0,0,Deposition-Dry,950.7,Legacy_Deposition,Total Phosphorus,TP,25.02,,25.02,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05692,FMP05692,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/14/2008,0,0,Deposition-Dry,895,Legacy_Deposition,Total Nitrogen,TPN,392.37,,392.37,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05692,FMP05692,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/14/2008,0,0,Deposition-Dry,895,Legacy_Deposition,Total Phosphorus,TP,88.262,,88.262,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05693,FMP05693,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/22/2008,0,0,Deposition-Dry,999,Legacy_Deposition,Total Nitrogen,TPN,234.266,,234.266,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05693,FMP05693,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/22/2008,0,0,Deposition-Dry,999,Legacy_Deposition,Total Phosphorus,TP,53.249,,53.249,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05703,FMP05703,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/1/2008,0,0,Deposition-Dry,1039.3,Legacy_Deposition,Total Nitrogen,TPN,323.258,,323.258,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05703,FMP05703,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/1/2008,0,0,Deposition-Dry,1039.3,Legacy_Deposition,Total Phosphorus,TP,79.906,,79.906,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05714,FMP05714,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/8/2008,0,0,Deposition-Dry,788.1,Legacy_Deposition,Total Nitrogen,TPN,116.697,,116.697,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05714,FMP05714,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/8/2008,0,0,Deposition-Dry,788.1,Legacy_Deposition,Total Phosphorus,TP,12.327,,12.327,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05717,FMP05717,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/11/2008,0,0,Deposition-Dry,1280.8,Legacy_Deposition,Total Nitrogen,TPN,33.917,,33.917,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05717,FMP05717,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/11/2008,0,0,Deposition-Dry,1280.8,Legacy_Deposition,Total Phosphorus,TP,3.813,,3.813,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
