"lims","id","date","nh3","chl","doc","no3no2","pc","pn","pp","srp","tdn","tdp","tn","tp","site","rep"
"23","22042701-21","Fish_C",2022-04-28,2.5,NA,2.28,2.9,240,16.6666666666667,2.36,1,83.7,2.5,95.5,5.4,"Fish","C"
"24","22050905-01","UMC_A",2022-05-10,NA,NA,0.75,238,80,NA,0.963333333333333,NA,268,NA,261,1.9,"UMC","A"
"25","22050905-02","UMC_B",2022-05-10,NA,NA,0.77,238,93.3333333333333,NA,0.87,NA,273,NA,259,2.1,"UMC","B"
"26","22050905-03","UMC_C",2022-05-10,NA,NA,0.8,236,80,NA,1.39333333333333,NA,270,2.6,262,2.9,"UMC","C"
"27","22050905-04","LMC_A",2022-05-10,NA,NA,0.65,93.9,93.3333333333333,13.3333333333333,0.733333333333333,NA,133,NA,135,3.1,"LMC","A"
"28","22050905-05","LMC_B",2022-05-10,NA,NA,0.66,93.7,93.3333333333333,13.3333333333333,0.8,NA,126,NA,134,2.8,"LMC","B"
"29","22050905-06","LMC_C",2022-05-10,NA,NA,0.65,93.8,120,20,0.736666666666667,2.5,128,NA,135,2.7,"LMC","C"
"30","22050905-07","Sprague_A",2022-05-10,2.4,NA,3.74,31.3,343.333333333333,20,3.01666666666667,3,142,6,158,10.7,"Sprague","A"
"31","22050905-08","Sprague_B",2022-05-10,2.4,NA,3.73,31,340,20,3.02666666666667,2.9,141,6.3,157,10.1,"Sprague","B"
"32","22050905-09","Sprague_C",2022-05-10,2.5,NA,3.71,31.3,340,23.3333333333333,3.13666666666667,3.1,141,6.2,156,10.5,"Sprague","C"
"33","22050905-10","Snyder_A",2022-05-10,2.1,NA,1.28,290,66.6666666666667,NA,0.873333333333333,2.2,351,3.8,332,4.7,"Snyder","A"
"34","22050905-11","Snyder_B",2022-05-10,2,NA,1.29,290,86.6666666666667,NA,0.953333333333333,2.2,342,3.4,333,4.5,"Snyder","B"
"35","22050905-12","Snyder_C",2022-05-10,2,NA,1.27,290,80,NA,0.953333333333333,2.5,337,3.1,334,5.6,"Snyder","C"
"36","22050905-13","Fish_A",2022-05-10,2,NA,2.01,5.8,333.333333333333,23.3333333333333,1.84666666666667,1.1,70.3,2.1,94.3,6.3,"Fish","A"
"37","22050905-14","Fish_B",2022-05-10,2,NA,2.01,5.9,353.333333333333,26.6666666666667,1.27,1,71.9,2,90.4,6.6,"Fish","B"
"38","22050905-15","Fish_C",2022-05-10,2,NA,2.01,5.9,300,23.3333333333333,2.45,1,70.9,2.5,89,6.3,"Fish","C"
"39","22052304-01","LM10_A",2022-05-24,1.5,0.76,0.7,95.9,150,23.3333333333333,0.86,NA,120,NA,144,2.6,"LM10","A"
"40","22052304-02","LM10_B",2022-05-24,2.2,0.71,0.68,95.3,103.333333333333,13.3333333333333,1.51666666666667,NA,129,NA,144,2.4,"LM10","B"
"41","22052304-03","LM10_C",2022-05-24,4.1,0.7,0.67,95.2,100,16.6666666666667,1.02,NA,131,NA,137,2,"LM10","C"
"42","22052304-04","LM5i_A",2022-05-24,4.4,0.7,0.69,97,93.3333333333333,13.3333333333333,0.866666666666667,NA,128,NA,134,1.8,"LM5i","A"
"43","22052304-05","LM5i_B",2022-05-24,2.8,0.74,0.67,96.3,90,13.3333333333333,0.89,NA,132,NA,158,4.4,"LM5i","B"
"44","22052304-06","LM5i_C",2022-05-24,3.1,0.73,0.71,96.3,90,13.3333333333333,0.8,NA,132,NA,141,2,"LM5i","C"
"45","22052304-07","UMC_A",2022-05-24,3.8,NA,0.68,199,43.3333333333333,NA,0.67,NA,230,NA,231,NA,"UMC","A"
"46","22052304-08","UMC_B",2022-05-24,2.8,NA,0.68,199,30,NA,0.68,NA,230,NA,231,NA,"UMC","B"
"47","22052304-09","UMC_C",2022-05-24,4.2,NA,0.68,198,30,NA,0.666666666666667,NA,231,NA,230,NA,"UMC","C"
"48","22052304-10","LMC_A",2022-05-24,4.4,NA,0.67,96.5,90,16.6666666666667,0.8,NA,134,NA,138,1.5,"LMC","A"
"49","22052304-11","LMC_B",2022-05-24,4,NA,0.66,96.3,76.6666666666667,13.3333333333333,0.786666666666667,NA,134,NA,139,NA,"LMC","B"
"50","22052304-12","LMC_C",2022-05-24,4.6,NA,0.67,96.1,83.3333333333333,10,0.783333333333333,NA,138,NA,138,NA,"LMC","C"
"51","22052304-13","Sprague_A",2022-05-24,2.9,NA,3.02,12.9,276.666666666667,20,2.50666666666667,2.3,121,4.9,127,7.2,"Sprague","A"
"52","22052304-14","Sprague_B",2022-05-24,2.7,NA,3.07,12.6,250,16.6666666666667,2.39333333333333,2.5,128,4.4,130,8.2,"Sprague","B"
"53","22052304-15","Sprague_C",2022-05-24,2.5,NA,3.01,12.3,246.666666666667,16.6666666666667,2.33666666666667,2.1,114,4.4,130,8.3,"Sprague","C"
"54","22052304-16","Snyder_A",2022-05-24,2,NA,1.03,169,70,10,1.03,1.1,233,2.8,222,3.1,"Snyder","A"
"55","22052304-17","Snyder_B",2022-05-24,1.7,NA,1.03,169,73.3333333333333,10,0.996666666666667,1.1,213,1.8,220,3,"Snyder","B"
"56","22052304-18","Snyder_C",2022-05-24,2,NA,1.05,169,113.333333333333,10,0.98,1.1,224,2.6,217,2.8,"Snyder","C"
"57","22052304-19","Fish_A",2022-05-24,1.9,NA,1.23,5.1,163.333333333333,13.3333333333333,1.51666666666667,NA,53,2,56.5,2.9,"Fish","A"
"58","22052304-20","Fish_B",2022-05-24,1.9,NA,1.23,4.9,160,13.3333333333333,1.52333333333333,NA,56.8,2.4,56.3,3,"Fish","B"
"59","22052304-21","Fish_C",2022-05-24,2.5,NA,1.24,4.8,126.666666666667,13.3333333333333,1.53333333333333,NA,53.8,1.6,57.8,3.1,"Fish","C"
"60","22060604-01","LM10_A",2022-06-07,2.4,1.15,0.74,95.4,146.666666666667,16.6666666666667,1.24333333333333,NA,135,NA,141,1.8,"LM10","A"
"61","22060604-02","LM10_B",2022-06-07,2.4,NA,0.72,95.2,140,20,1.19,NA,133,NA,139,NA,"LM10","B"
"62","22060604-03","LM10_C",2022-06-07,2.3,1.2,0.71,96,143.333333333333,16.6666666666667,1.37333333333333,NA,132,NA,148,2.7,"LM10","C"
"63","22060604-04","LM5i_A",2022-06-07,2,1.08,0.74,93.2,163.333333333333,20,1.12,NA,131,NA,140,1.7,"LM5i","A"
"64","22060604-05","LM5i_B",2022-06-07,1.9,1.02,0.74,93.1,143.333333333333,16.6666666666667,1.09666666666667,NA,132,NA,138,1.7,"LM5i","B"
"65","22060604-06","LM5i_C",2022-06-07,2.6,1.11,0.77,93.3,140,20,1.11666666666667,NA,131,NA,137,1.7,"LM5i","C"
"66","22060604-07","UMC_A",2022-06-07,2.9,NA,0.86,158,266.666666666667,16.6666666666667,6.86666666666667,NA,213,NA,200,7.7,"UMC","A"
"67","22060604-08","UMC_B",2022-06-07,1.7,NA,0.84,159,260,13.3333333333333,6.90666666666667,NA,191,NA,194,6,"UMC","B"
"68","22060604-09","UMC_C",2022-06-07,2.4,NA,0.89,157,323.333333333333,23.3333333333333,7.44333333333333,NA,192,NA,194,6.3,"UMC","C"
"69","22060604-10","LMC_A",2022-06-07,2.2,NA,0.72,95,136.666666666667,16.6666666666667,1.06333333333333,NA,139,NA,138,1.6,"LMC","A"
"70","22060604-11","LMC_B",2022-06-07,1.7,NA,0.72,93.9,106.666666666667,10,1.16,NA,133,NA,142,2.7,"LMC","B"
"71","22060604-12","LMC_C",2022-06-07,1.5,NA,0.7,93.6,150,20,1.31,NA,131,NA,138,2.2,"LMC","C"
"72","22060604-13","Sprague_A",2022-06-07,2.5,NA,3.45,12.6,636.666666666667,36.6666666666667,5.16333333333333,2.6,125,5,147,10.4,"Sprague","A"
"73","22060604-14","Sprague_B",2022-06-07,2.6,NA,3.5,12.7,436.666666666667,23.3333333333333,3.72,2.6,123,5.1,138,9.2,"Sprague","B"
"74","22060604-15","Sprague_C",2022-06-07,2.5,NA,3.46,13.1,556.666666666667,30,4.51,2.5,127,4.8,142,10,"Sprague","C"
"75","22060604-16","Snyder_A",2022-06-07,1.7,NA,1.24,122,150,13.3333333333333,2.53333333333333,1.9,173,2.2,177,5.1,"Snyder","A"
"76","22060604-17","Snyder_B",2022-06-07,1.8,NA,1.2,125,120,10,2.15333333333333,1.8,173,2,179,4.9,"Snyder","B"
"77","22060604-18","Snyder_C",2022-06-07,1.9,NA,1.18,124,163.333333333333,13.3333333333333,2.65333333333333,1.9,173,3,178,4.7,"Snyder","C"
"78","22060604-19","Fish_A",2022-06-07,1.7,NA,1.35,2.3,160,10,2.14,NA,47,2.2,57.3,3.8,"Fish","A"
"79","22060604-20","Fish_B",2022-06-07,1.8,NA,1.36,NA,176.666666666667,13.3333333333333,2.07333333333333,NA,49.2,1.6,58.4,3.4,"Fish","B"
"80","22060604-21","Fish_C",2022-06-07,1.8,NA,1.51,NA,190,13.3333333333333,2.00666666666667,0.8,41.4,1.9,56.8,3.8,"Fish","C"
"93","22062802-01","LM10_A",2022-06-30,2.5,0.71,0.88,91.3,206.666666666667,26.6666666666667,1.83,NA,131,NA,154,4.3,"LM10","A"
"94","22062802-02","LM10_B",2022-06-30,2,0.61,0.89,90,220,26.6666666666667,1.76666666666667,NA,127,NA,141,3.7,"LM10","B"
"95","22062802-03","LM10_C",2022-06-30,2.7,0.64,0.89,90.1,273.333333333333,40,2.37333333333333,NA,131,NA,134,2.5,"LM10","C"
"96","22062802-04","LM5i_A",2022-06-30,1.5,0.54,0.93,91.3,146.666666666667,23.3333333333333,2.11,NA,142,NA,148,3.5,"LM5i","A"
"97","22062802-05","LM5i_B",2022-06-30,1.7,0.46,0.9,88.6,120,16.6666666666667,1.3,NA,130,NA,132,2,"LM5i","B"
"98","22062802-06","LM5i_C",2022-06-30,1.7,0.45,0.88,88.6,153.333333333333,16.6666666666667,2.29,NA,127,NA,142,2.2,"LM5i","C"
"99","22062802-07","UMC_A",2022-06-29,NA,NA,0.67,58,173.333333333333,13.3333333333333,5.05,NA,84.4,NA,101,9.6,"UMC","A"
"100","22062802-08","UMC_B",2022-06-29,NA,NA,0.64,55.6,280,13.3333333333333,6.54666666666667,NA,87.6,NA,87.5,10.3,"UMC","B"
"101","22062802-09","UMC_C",2022-06-29,NA,NA,0.68,58.3,246.666666666667,13.3333333333333,5.72333333333333,NA,90.8,NA,87.9,7.8,"UMC","C"
"102","22062802-10","LMC_A",2022-06-29,3.2,NA,0.78,97.1,136.666666666667,16.6666666666667,1.72666666666667,NA,136,NA,145,3,"LMC","A"
"103","22062802-11","LMC_B",2022-06-29,3.3,NA,0.77,96.4,153.333333333333,20,1.66333333333333,NA,134,NA,142,2.5,"LMC","B"
"104","22062802-12","LMC_C",2022-06-29,3.8,NA,0.77,96.6,163.333333333333,16.6666666666667,1.70333333333333,NA,136,NA,141,2.2,"LMC","C"
"105","22062802-13","Sprague_A",2022-06-29,3,NA,3.25,11.2,240,20,2.78,3.1,107,5.4,126,10.3,"Sprague","A"
"106","22062802-14","Sprague_B",2022-06-29,3,NA,3.17,11.4,296.666666666667,20,2.72666666666667,3.1,110,5.7,125,9.9,"Sprague","B"
"107","22062802-15","Sprague_C",2022-06-29,2.7,NA,3.18,11.5,316.666666666667,20,3.75,3.2,107,5.8,125,9.9,"Sprague","C"
"108","22062802-16","Snyder_A",2022-06-29,2,NA,0.9,38.3,580,33.3333333333333,7.82666666666667,1.9,75.3,3,96.9,8.9,"Snyder","A"
"109","22062802-17","Snyder_B",2022-06-29,1.7,NA,0.87,38.6,223.333333333333,20,2.54333333333333,1.9,81.9,4.3,89.6,6.7,"Snyder","B"
"110","22062802-18","Snyder_C",2022-06-29,1.8,NA,0.88,38.4,490,26.6666666666667,5.47666666666667,1.8,75.9,3.2,92.7,8.4,"Snyder","C"
"111","22062802-19","Fish_A",2022-06-29,2.7,NA,1.2,5,233.333333333333,20,2.32666666666667,1.1,48.5,NA,57.3,4.4,"Fish","A"
"112","22062802-20","Fish_B",2022-06-29,2.7,NA,1.26,5.1,223.333333333333,NA,2.21,1.1,43,NA,56.9,4.6,"Fish","B"
"113","22062802-21","Fish_C",2022-06-29,2.7,NA,1.18,4.7,206.666666666667,NA,2.16,0.8,43.9,NA,54.8,4,"Fish","C"
"114","22071806-01","LM10_A",2022-07-19,3.2,0.95,0.88,76.2,230,20,1.89666666666667,NA,120,NA,122,NA,"LM10","A"
"115","22071806-02","LM10_B",2022-07-19,3,1.07,0.84,78.8,193.333333333333,16.6666666666667,1.72333333333333,NA,118,NA,126,1.5,"LM10","B"
"116","22071806-03","LM10_C",2022-07-19,3.6,0.85,0.85,75.4,213.333333333333,16.6666666666667,1.03,NA,121,NA,128,2,"LM10","C"
"117","22071806-04","LM5i_A",2022-07-19,2.8,0.67,0.84,69.4,103.333333333333,NA,0.646666666666667,NA,106,NA,113,NA,"LM5i","A"
"118","22071806-05","LM5i_B",2022-07-19,2.9,1.09,0.87,68.4,206.666666666667,16.6666666666667,0.62,NA,106,NA,133,6.8,"LM5i","B"
"119","22071806-06","LM5i_C",2022-07-19,3.3,0.88,1,69.5,170,NA,0.853333333333333,NA,108,NA,110,NA,"LM5i","C"
"120","22071806-07","UMC_A",2022-07-19,1.7,NA,0.4,44.8,86.6666666666667,NA,1.97333333333333,NA,58.5,NA,72.4,2.6,"UMC","A"
"121","22071806-08","UMC_B",2022-07-19,1.5,NA,0.39,45.2,180,26.6666666666667,2.51666666666667,NA,63.5,NA,59.2,NA,"UMC","B"
"122","22071806-09","UMC_C",2022-07-19,1.7,NA,0.37,45,260,13.3333333333333,4.22,NA,62.4,NA,78.7,3.6,"UMC","C"
"123","22071806-10","LMC_A",2022-07-19,3,NA,0.82,64.4,320,16.6666666666667,1.28333333333333,NA,108,NA,113,1.5,"LMC","A"
"124","22071806-11","LMC_B",2022-07-19,3.4,NA,0.79,63.3,310,16.6666666666667,1.40666666666667,NA,113,1.9,113,1.6,"LMC","B"
"125","22071806-12","LMC_C",2022-07-19,2.6,NA,0.78,63.8,306.666666666667,16.6666666666667,1.16,NA,101,NA,113,NA,"LMC","C"
"126","22071806-13","Sprague_A",2022-07-19,3.3,NA,2.69,29.1,243.333333333333,13.3333333333333,2.7,3.2,132,6.1,138,9.5,"Sprague","A"
"127","22071806-14","Sprague_B",2022-07-19,3.2,NA,2.75,29.2,316.666666666667,16.6666666666667,3.08666666666667,3.1,118,6,146,9.7,"Sprague","B"
"128","22071806-15","Sprague_C",2022-07-19,3.5,NA,2.77,29.9,306.666666666667,13.3333333333333,2.74,3.1,125,6.2,150,9.2,"Sprague","C"
"129","22071806-16","Snyder_A",2022-07-19,2.6,NA,0.63,19.8,116.666666666667,10,2.85333333333333,1.1,52.3,2.5,57.5,3.6,"Snyder","A"
"130","22071806-17","Snyder_B",2022-07-19,2.5,NA,0.62,19.7,183.333333333333,10,2.44666666666667,1.2,52.8,4.8,55.6,3.9,"Snyder","B"
"131","22071806-18","Snyder_C",2022-07-19,2.6,NA,0.61,19.5,210,NA,1.69666666666667,1.1,52.4,2.3,63.5,3.9,"Snyder","C"
"132","22071806-19","Fish_A",2022-07-19,3.1,NA,0.87,4.7,263.333333333333,13.3333333333333,2.02,0.8,41.5,1.7,51.3,3.3,"Fish","A"
"133","22071806-20","Fish_B",2022-07-19,2.9,NA,0.89,5.1,170,13.3333333333333,2.01,NA,42.1,NA,52.5,3.8,"Fish","B"
"134","22071806-21","Fish_C",2022-07-19,3,NA,0.83,4.7,163.333333333333,13.3333333333333,2.09666666666667,NA,37.2,NA,51.2,4,"Fish","C"
"135","22071806-22","LMHYPO_A",2022-07-19,7.8,0.23,0.74,96.9,120,NA,1.38666666666667,NA,140,NA,143,NA,"LMHYPO","A"
"136","22071806-23","LMHYPO_B",2022-07-19,8.5,0.26,0.74,94,113.333333333333,NA,1.29333333333333,NA,161,NA,152,2.2,"LMHYPO","B"
"137","22071806-24","LMHYPO_C",2022-07-19,7.6,0.22,0.71,92.5,113.333333333333,NA,1.5,NA,146,NA,146,1.5,"LMHYPO","C"
"142","22080303-01","LM10_A",2022-08-04,3.3,0.18,0.87,67.1,176.666666666667,20,0.92,NA,117,3.9,138,6.5,"LM10","A"
"143","22080303-02","LM10_B",2022-08-04,3.3,1.01,0.82,66.5,176.666666666667,16.6666666666667,1.11,NA,107,NA,128,3.5,"LM10","B"
"144","22080303-03","LM10_C",2022-08-04,3.5,1.03,0.83,66.6,243.333333333333,33.3333333333333,0.666666666666667,NA,119,NA,123,3.4,"LM10","C"
"145","22080303-04","LM5i_A",2022-08-04,3.8,0.25,1.21,57.5,96.6666666666667,16.6666666666667,1.27666666666667,NA,118,NA,102,1.7,"LM5i","A"
"146","22080303-05","LM5i_B",2022-08-04,3.6,0.27,0.82,57.1,116.666666666667,16.6666666666667,1.13,NA,102,NA,104,1.7,"LM5i","B"
"147","22080303-06","LM5i_C",2022-08-04,3.5,0.26,0.88,56.7,60,10,0.47,NA,104,1.5,101,NA,"LM5i","C"
"148","22080303-10","UMC_A",2022-08-03,2.3,NA,0.32,54.4,43.3333333333333,NA,0.513333333333333,2.1,72.9,2.8,74.5,NA,"UMC","A"
"149","22080303-11","UMC_B",2022-08-03,1.5,NA,0.32,55,60,NA,0.493333333333333,0.8,84.4,NA,72.1,NA,"UMC","B"
"150","22080303-12","UMC_C",2022-08-03,NA,NA,0.31,54.4,46.6666666666667,NA,0.563333333333333,3.7,73.6,4.7,126,NA,"UMC","C"
"151","22080303-13","LMC_A",2022-08-03,3,NA,0.77,56.7,103.333333333333,10,0.353333333333333,NA,97.6,NA,104,1.5,"LMC","A"
"152","22080303-14","LMC_B",2022-08-03,2.9,NA,0.76,56,66.6666666666667,10,0.416666666666667,3.5,95.9,4.4,109,1.9,"LMC","B"
"153","22080303-15","LMC_C",2022-08-03,3.3,NA,0.77,56.1,90,13.3333333333333,0.606666666666667,1.2,97.3,NA,104,1.5,"LMC","C"
"154","22080303-16","Sprague_A",2022-08-03,3.5,NA,2.28,54.6,256.666666666667,16.6666666666667,2.05,5.6,137,8.5,158,8.8,"Sprague","A"
"155","22080303-17","Sprague_B",2022-08-03,3.4,NA,2.24,54.3,250,16.6666666666667,2.07333333333333,3.7,130,5.6,151,8.5,"Sprague","B"
"156","22080303-18","Sprague_C",2022-08-03,3.2,NA,2.26,54.2,270,16.6666666666667,2.1,3.7,139,6,148,8.7,"Sprague","C"
"157","22080303-19","Snyder_A",2022-08-03,3.2,NA,0.53,45.3,70,NA,0.4,1.8,104,4,85,4.5,"Snyder","A"
"158","22080303-20","Snyder_B",2022-08-03,2.7,NA,0.5,46,43.3333333333333,NA,0.496666666666667,1.4,81.5,3.2,78.2,3.2,"Snyder","B"
"159","22080303-21","Snyder_C",2022-08-03,2.3,NA,0.51,45.8,146.666666666667,10,1.49333333333333,1.3,83,2.8,82.8,4.4,"Snyder","C"
"160","22080303-22","Fish_A",2022-08-03,2.8,NA,0.72,5.9,150,13.3333333333333,1.28,NA,45.5,3,48.1,3.9,"Fish","A"
"161","22080303-23","Fish_B",2022-08-03,3.2,NA,0.71,6.5,216.666666666667,16.6666666666667,1.5,NA,40.3,NA,49.5,4,"Fish","B"
"162","22080303-24","Fish_C",2022-08-03,3.3,NA,0.72,5.8,126.666666666667,13.3333333333333,1.56666666666667,NA,62.6,13.1,48.8,3.9,"Fish","C"
"175","22080901-01","UMC_A",2022-09-06,3.1,NA,0.31,97.6,NA,NA,0.276666666666667,NA,152,2.5,118,1.9,"UMC","A"
"176","22080901-02","UMC_B",2022-09-06,2.6,NA,0.32,97.2,NA,NA,0.303333333333333,1.6,127,3.6,129,4.9,"UMC","B"
"177","22080901-03","UMC_C",2022-09-06,2.6,NA,0.31,97.2,16.6666666666667,NA,0.276666666666667,3.9,198,15.3,118,NA,"UMC","C"
"178","22080901-04","LMC_A",2022-09-06,4.5,NA,0.82,46.2,60,NA,0.343333333333333,NA,114,2.6,106,2.2,"LMC","A"
"179","22080901-05","LMC_B",2022-09-06,4.3,NA,0.84,46,53.3333333333333,NA,0.453333333333333,NA,99,1.5,101,NA,"LMC","B"
"180","22080901-06","LMC_C",2022-09-06,4,NA,0.83,46,63.3333333333333,NA,0.61,NA,91,NA,116,3.6,"LMC","C"
"181","22080901-07","Sprague_A",2022-09-06,3.2,NA,1.68,58.9,730,43.3333333333333,6.72333333333333,3.8,126,6.2,162,13.1,"Sprague","A"
"182","22080901-08","Sprague_B",2022-09-06,2.8,NA,1.66,58.9,1486.66666666667,96.6666666666667,14.7733333333333,3.8,131,6,193,19,"Sprague","B"
"183","22080901-09","Sprague_C",2022-09-06,3,NA,1.66,58.7,2296.66666666667,156.666666666667,19.47,4.3,139,7.2,231,26.5,"Sprague","C"
"184","22080901-10","Snyder_A",2022-09-06,3.7,NA,0.44,25.5,26.6666666666667,NA,0.323333333333333,2.6,88.2,7.7,58.4,3.8,"Snyder","A"
"185","22080901-11","Snyder_B",2022-09-06,4.1,NA,0.44,25.8,13.3333333333333,NA,0.353333333333333,2.3,67.9,5.5,53.9,2.8,"Snyder","B"
"186","22080901-12","Snyder_C",2022-09-06,3.3,NA,0.44,25.7,36.6666666666667,NA,0.413333333333333,2,54.9,3.6,49.7,2.5,"Snyder","C"
"187","22080901-13","Fish_A",2022-09-06,2.3,NA,0.74,1.5,73.3333333333333,NA,0.876666666666667,0.9,50.9,2.4,53.1,4.4,"Fish","A"
"188","22080901-14","Fish_B",2022-09-06,2.3,NA,0.73,NA,90,NA,0.883333333333333,1.4,48.7,2.6,55.5,6.6,"Fish","B"
"189","22080901-15","Fish_C",2022-09-06,2.4,NA,0.75,NA,100,NA,0.953333333333333,0.9,49.3,3.1,88,17.1,"Fish","C"
"190","22080901-16","LM10_A",2022-09-06,4.7,0.5,0.85,49.1,96.6666666666667,13.3333333333333,0.51,NA,105,2.3,137,9.1,"LM10","A"
"191","22080901-17","LM10_B",2022-09-06,4.7,0.61,0.84,49.7,126.666666666667,16.6666666666667,2.09666666666667,NA,102,2,129,6.5,"LM10","B"
"192","22080901-18","LM10_C",2022-09-06,4.4,0.61,0.83,49,96.6666666666667,13.3333333333333,1.99,NA,97.4,NA,105,2,"LM10","C"
"193","22080901-19","LM5i_A",2022-09-06,4.1,0.31,0.87,47,70,NA,0.703333333333333,NA,101,NA,107,NA,"LM5i","A"
"194","22080901-20","LM5i_B",2022-09-06,3.9,0.32,0.83,47.2,60,NA,0.423333333333333,NA,92.4,NA,92,NA,"LM5i","B"
"195","22080901-21","LM5i_C",2022-09-06,3.8,NA,0.84,48.2,63.3333333333333,NA,0.666666666666667,0.8,95.3,1.6,98.2,1.5,"LM5i","C"
"196","22080901-22","LMHYPO_A",2022-09-06,1.9,0.34,0.7,112,20,NA,0.866666666666667,NA,153,NA,148,2.5,"LMHYPO","A"
"197","22080901-23","LMHYPO_B",2022-09-06,2.3,0.31,0.68,112,33.3333333333333,NA,1.18333333333333,NA,150,NA,157,7.1,"LMHYPO","B"
"198","22080901-24","LMHYPO_C",2022-09-06,2.6,0.31,0.7,112,40,NA,1.08333333333333,NA,157,1.9,151,2.7,"LMHYPO","C"
"199","22091901-01","LM10_A",2022-09-20,5.1,0.63,0.87,39.2,126.666666666667,20,0.806666666666667,NA,96.2,2.3,99.7,2.1,"LM10","A"
"200","22091901-02","LM10_B",2022-09-20,5.2,0.66,0.88,39.2,113.333333333333,23.3333333333333,1.41666666666667,1.1,110,3.1,106,2.6,"LM10","B"
"201","22091901-03","LM10_C",2022-09-20,4.6,0.64,0.82,38.9,130,20,0.78,1.3,93.5,4.2,97.4,1.8,"LM10","C"
"202","22091901-04","LM5i_A",2022-09-20,4.9,0.64,0.85,39.9,113.333333333333,16.6666666666667,1.20666666666667,1,88.8,2.2,96.9,1.9,"LM5i","A"
"203","22091901-05","LM5i_B",2022-09-20,4.5,0.7,0.84,39.4,103.333333333333,20,1.04,NA,86.9,2.2,106,4.7,"LM5i","B"
"204","22091901-06","LM5i_C",2022-09-20,4.9,0.65,0.83,39.8,160,30,2.30333333333333,1.5,87.8,4.2,97.1,1.9,"LM5i","C"
"205","22091901-10","UMC_A",2022-09-20,2.8,NA,0.27,110,53.3333333333333,10,0.633333333333333,0.8,130,3.6,132,2.3,"UMC","A"
"206","22091901-11","UMC_B",2022-09-20,3.6,NA,0.31,110,23.3333333333333,NA,0.5,1.4,134,6,134,1.7,"UMC","B"
"207","22091901-12","UMC_C",2022-09-20,3.7,NA,0.28,110,36.6666666666667,10,0.283333333333333,1,140,4.6,125,NA,"UMC","C"
"208","22091901-13","LMC_A",2022-09-20,4.6,NA,0.83,34.9,226.666666666667,NA,1.96666666666667,NA,87.2,2.9,106,3.1,"LMC","A"
