"lims","id","date","nh3","chl","doc","no3no2","pc","pn","pp","srp","tdn","tdp","tn","tp","site","rep"
"3","22042701-01","LM10_A",2022-04-28,2.3,1.39,0.69,99.7,73.3333333333333,13.3333333333333,1.18333333333333,NA,140,1.6,181,5,"LM10","A"
"4","22042701-02","LM10_B",2022-04-28,NA,1.48,0.65,100,63.3333333333333,10,0.986666666666667,NA,136,NA,147,3.5,"LM10","B"
"5","22042701-03","LM10_C",2022-04-28,NA,1.41,0.66,100,70,10,1.02,NA,137,NA,144,2.2,"LM10","C"
"6","22042701-04","LM5i_A",2022-04-28,NA,1.35,0.68,100,80,10,0.89,NA,134,NA,145,2.3,"LM5i","A"
"7","22042701-05","LM5i_B",2022-04-28,NA,1.14,0.68,100,66.6666666666667,10,0.866666666666667,NA,145,NA,142,1.9,"LM5i","B"
"8","22042701-06","LM5i_C",2022-04-28,NA,1.33,0.66,100,63.3333333333333,10,0.823333333333333,NA,135,NA,142,1.8,"LM5i","C"
"9","22042701-07","UMC_A",2022-04-28,NA,NA,0.58,170,53.3333333333333,NA,0.753333333333333,NA,192,NA,196,NA,"UMC","A"
"10","22042701-08","UMC_B",2022-04-28,NA,NA,0.61,167,53.3333333333333,NA,0.793333333333333,NA,359,NA,194,NA,"UMC","B"
"11","22042701-09","UMC_C",2022-04-28,NA,NA,0.58,167,53.3333333333333,NA,0.723333333333333,0.9,225,12.2,193,NA,"UMC","C"
"12","22042701-10","LMC_A",2022-04-28,NA,NA,0.7,97.9,83.3333333333333,10,1.04333333333333,NA,131,NA,138,1.5,"LMC","A"
"13","22042701-11","LMC_B",2022-04-28,NA,NA,0.68,95.7,86.6666666666667,10,0.996666666666667,NA,128,NA,142,1.7,"LMC","B"
"14","22042701-12","LMC_C",2022-04-28,NA,NA,0.7,96.1,73.3333333333333,10,0.996666666666667,NA,131,NA,139,1.5,"LMC","C"
"15","22042701-13","Sprague_A",2022-04-28,2.6,NA,3.38,44.7,353.333333333333,20,3.06,2.3,144,4.2,161,7,"Sprague","A"
"16","22042701-14","Sprague_B",2022-04-28,2.5,NA,3.41,45,290,20,3.01333333333333,2.3,144,4.5,166,7.7,"Sprague","B"
"17","22042701-15","Sprague_C",2022-04-28,3.1,NA,3.42,44.1,326.666666666667,20,3.11666666666667,2.4,147,4.4,163,7.8,"Sprague","C"
"18","22042701-16","Snyder_A",2022-04-28,2.7,NA,1.3,250.4,110,10,1.33666666666667,1.6,298,2.2,311,3.3,"Snyder","A"
"19","22042701-17","Snyder_B",2022-04-28,2.5,NA,1.31,251.5,116.666666666667,10,1.07333333333333,1.6,299,2.5,306,3.1,"Snyder","B"
"20","22042701-18","Snyder_C",2022-04-28,2.8,NA,1.27,252.4,106.666666666667,10,1.12666666666667,1.7,306,2.8,294,3.5,"Snyder","C"
"21","22042701-19","Fish_A",2022-04-28,2.7,NA,2.26,4.8,280,20,2.55333333333333,1.2,81.2,2.6,91.8,5,"Fish","A"
"22","22042701-20","Fish_B",2022-04-28,2.1,NA,2.34,5,256.666666666667,16.6666666666667,2.57,1.2,83,2.6,93.3,5.1,"Fish","B"
