siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
MT05,TI6915SW,4/19/2011 15:45,4/26/2011 15:30,201104,5.53,4.2, ,0.063, ,0.009, ,0.012, ,0.014, ,0.244, ,0.51, ,0.023, ,0.38,565.1,12.192,12.192,w ,            ,7/25/2012
MT05,TI7223SW,4/26/2011 15:30,5/3/2011 15:00,201104,5.46,3.1, ,0.038, ,0.005, ,0.007, ,0.007, ,0.126, ,0.322, ,0.013, ,0.182,2084.4,36.068,36.068,w ,            ,7/25/2012
MT05,TI7392SW,5/3/2011 15:00,5/10/2011 15:15,201105,5.95,3.7, ,0.074, ,0.01, ,0.013, ,0.014, ,0.342, ,0.42, ,0.026, ,0.255,630.5,10.414,10.414,w ,            ,7/25/2012
MT05,TI7657SW,5/10/2011 15:15,5/17/2011 15:15,201105,6.04,3.8, ,0.154, ,0.028, ,0.461, ,0.015, ,0.087, ,0.21, ,0.03, ,0.15,562.8,8.636,8.636,w ,            ,7/25/2012
MT05,TI7868SW,5/17/2011 15:15,5/24/2011 15:30,201105,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,91.6,1.778,1.778,  ,v           ,7/25/2012
MT05,TI8202SW,5/24/2011 15:30,5/31/2011 15:00,201105,5.44,3.5, ,0.021, ,0.005, ,0.024, ,0.01, ,0.136, ,0.297, ,0.025, ,0.153,2783.3,51.816,51.816,w ,            ,7/25/2012
MT05,TI8359SW,5/31/2011 15:00,6/7/2011 15:15,201106,5.31,3.7, ,0.042, ,0.006, ,0.011, ,0.011, ,0.122, ,0.323, ,0.025, ,0.261,2689.5,42.926,42.926,w ,            ,7/25/2012
MT05,TI8947SW,6/7/2011 15:15,6/14/2011 15:00,201106,5.41,3.8, ,0.031, ,0.007, ,0.035, ,0.013, ,0.215, ,0.34, ,0.025, ,0.215,984.1,16.764,16.764,w ,            ,7/25/2012
MT05,TI8948SW,6/14/2011 15:00,6/21/2011 15:45,201106,5.14,4.8, ,0.033, ,0.009, ,0.054, ,0.015, ,0.176, ,0.439, ,0.026, ,0.244,1680.8,32.004,32.004,w ,            ,7/25/2012
MT05,TI9116SW,6/21/2011 15:45,6/28/2011 15:30,201106,4.96,6, ,0.03, ,0.01, ,0.067, ,0.01, ,0.035, ,0.362, ,0.033, ,0.232,1048.6,15.748,15.748,w ,            ,7/25/2012
MT05,TI9366SW,6/28/2011 15:30,7/5/2011 15:00,201107,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,280.6,4.064,4.064,  ,c           ,7/25/2012
MT05,TI9814SW,7/5/2011 15:00,7/12/2011 15:45,201107,6.14,5.3, ,0.135, ,0.027, ,1.143, ,0.021, ,0.016, ,0.086, ,0.03, ,0.238,675.5,9.398,9.398,w ,            ,7/25/2012
MT05,TI9863SW,7/12/2011 15:45,7/19/2011 15:15,201107,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,219,3.302,3.302,  ,c           ,7/25/2012
MT05,TJ0101SW,7/19/2011 15:15,7/26/2011 15:45,201107,5.93,4.2, ,0.103, ,0.023, ,0.237, ,0.074, ,0.205, ,0.404, ,0.106, ,0.235,1393.8,23.114,23.114,w ,            ,7/25/2012
MT05,TJ0373SW,7/26/2011 15:45,8/2/2011 15:30,201107,5.26,5, ,0.065, ,0.01, ,0.021, ,0.017, ,0.291, ,0.599, ,0.039, ,0.321,538.3,7.62,7.62,w ,            ,7/25/2012
MT05,TJ0614SW,8/2/2011 15:30,8/9/2011 15:30,201108,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,37.3,0.762,0.762,  ,v           ,7/25/2012
MT05,TJ0850SW,8/9/2011 15:30,8/16/2011 15:45,201108,4.92,7.9, ,0.195, ,0.032, ,0.038, ,0.025, ,0.141, ,0.807, ,0.061, ,0.499,190.4,2.794,2.794,w ,            ,7/25/2012
MT05,TJ1142SW,8/16/2011 15:45,8/23/2011 15:45,201108,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,1.7,0,0,d ,            ,7/25/2012
MT05,TJ1392SW,8/23/2011 15:45,8/30/2011 15:30,201108,4.74,14.6, ,0.384, ,0.06, ,0.053, ,0.028, ,0.392, ,1.803, ,0.124, ,1.003,78,1.016,1.016,w ,            ,7/25/2012
MT05,TJ1618SW,8/30/2011 15:30,9/6/2011 16:15,201109,5.03,5.8, ,0.062, ,0.01, ,0.021, ,0.011, ,0.138, ,0.508, ,0.029, ,0.38,981.8,15.24,15.24,w ,            ,7/25/2012
MT05,TJ1909SW,9/6/2011 16:15,9/13/2011 16:00,201109,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,2.1,0,0,d ,            ,7/25/2012
MT05,TJ2210SW,9/13/2011 16:00,9/20/2011 15:45,201109,5.2,3.5, ,0.028, ,0.005, ,0.011, ,0.008, ,0.057, ,0.207, ,0.023, ,0.176,1443.1,22.352,22.352,w ,            ,7/25/2012
MT05,TJ2364SW,9/20/2011 15:45,9/27/2011 16:00,201109,5.91,6.4, ,0.157, ,0.019, ,0.05, ,0.11, ,0.509, ,0.829, ,0.076, ,0.525,252.7,4.064,4.064,w ,            ,7/25/2012
MT05,TJ2697SW,9/27/2011 16:00,10/4/2011 15:30,201110,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,303,4.826,4.826,  ,c           ,7/25/2012
MT05,TJ3061SW,10/4/2011 15:30,10/11/2011 15:15,201110,5.29,3.1, ,0.012, ,0.003, ,0.008, ,0.006, ,0.062, ,0.197, ,0.02, ,0.114,3103.2,51.308,51.308,w ,            ,7/25/2012
MT05,TJ3224SW,10/11/2011 15:15,10/18/2011 15:30,201110,6.59,6.4, ,0.022, ,0.006, ,1.98, ,0.039,<,0.008,<,0.007, ,0.078, ,0.188,768.9,13.462,13.462,w ,            ,7/25/2012
MT05,TJ3402SW,10/18/2011 15:30,10/25/2011 16:15,201110,5.57,4.7, ,0.138, ,0.037, ,0.763, ,0.011,<,0.008, ,0.179, ,0.041, ,0.284,928.8,14.732,14.732,w ,            ,7/25/2012
MT05,TJ5503SW,10/25/2011 16:15,11/1/2011 16:15,201110,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,1124.8,18.542,18.542,  ,f           ,7/25/2012
MT05,TJ3933SW,11/1/2011 16:15,11/8/2011 17:00,201111,4.95,8.2, ,0.065, ,0.01, ,0.015, ,0.025, ,0.243, ,0.908, ,0.063, ,0.546,210.1,6.35,6.35,w ,            ,7/25/2012
MT05,TJ4273SW,11/8/2011 17:00,11/15/2011 17:15,201111,5.19,5.2, ,0.08, ,0.012, ,0.02, ,0.043, ,0.147, ,0.588, ,0.076, ,0.308,698.8,16.764,16.764,w ,            ,7/25/2012
MT05,TJ4694SW,11/15/2011 17:15,11/22/2011 17:15,201111,5.37,3.2, ,0.042, ,0.006, ,0.008, ,0.027, ,0.063, ,0.236, ,0.038, ,0.199,458.8,20.32,20.32,w ,            ,7/25/2012
MT05,TJ4632SW,11/22/2011 17:15,11/29/2011 16:30,201111,5.51,3.1, ,0.043, ,0.006, ,0.022, ,0.046, ,0.125, ,0.247, ,0.032, ,0.23,216.2,5.842,5.842,w ,            ,7/25/2012
MT05,TJ4947SW,11/29/2011 16:30,12/6/2011 17:30,201112,5.08,5.5, ,0.036, ,0.006, ,0.011, ,0.017, ,0.126, ,0.589, ,0.029, ,0.309,370.9,7.112,7.112,w ,            ,7/25/2012
MT05,TJ5211SW,12/6/2011 17:30,12/13/2011 16:45,201112,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,53.5,2.794,2.794,  ,v           ,7/25/2012
MT05,TJ5462SW,12/13/2011 16:45,12/20/2011 17:15,201112,4.94,6.4, ,0.036, ,0.005, ,0.014, ,0.022, ,0.099, ,0.801, ,0.035, ,0.234,375.1,10.668,10.668,w ,            ,7/25/2012
MT05,TJ5625SW,12/20/2011 17:15,12/27/2011 17:00,201112,5.41,3.8, ,0.06,<,0.007,<,0.01, ,0.085, ,0.093, ,0.322, ,0.122, ,0.191,93.5,4.064,4.064,wd,            ,7/25/2012
MT05,TJ6173SW,12/27/2011 17:00,1/3/2012 16:30,201112,5.5,1.7, ,0.007, ,0.003,<,0.003, ,0.006, ,0.014, ,0.06, ,0.012, ,0.023,2772.4,46.482,46.482,w ,            ,7/25/2012
MT05,TJ6314SW,1/3/2012 16:30,1/10/2012 16:30,201201,5.21,4.8, ,0.032, ,0.007, ,0.019, ,0.044, ,0.105, ,0.326, ,0.071, ,0.37,528.7,11.938,11.938,w ,            ,
MT05,TJ6464SW,1/10/2012 16:30,1/17/2012 16:00,201201,5.42,3.4, ,0.024, ,0.007, ,0.013, ,0.039, ,0.093, ,0.401, ,0.071, ,0.113,415.6,11.176,11.176,w ,            ,
MT05,TJ6732SW,1/17/2012 16:00,1/24/2012 16:00,201201,5.26,3, ,0.011, ,0.004,<,0.003, ,0.011, ,0.013, ,0.268, ,0.026, ,0.045,1200.5,35.814,35.814,w ,            ,
MT05,TJ7001SW,1/24/2012 16:00,1/31/2012 16:45,201201,5.38,3, ,0.019, ,0.004, ,0.008, ,0.028, ,0.054, ,0.197, ,0.049, ,0.149,3144.8,55.372,55.372,w ,            ,7/10/2013
MT05,TJ7302SW,1/31/2012 16:45,2/7/2012 16:15,201202,5.6,4.2, ,0.028, ,0.005, ,0.01, ,0.027, ,0.3, ,0.733, ,0.015, ,0.156,94.7,2.794,2.794,w ,            ,
MT05,TJ7536SW,2/7/2012 16:15,2/14/2012 16:45,201202,5.28,3.8, ,0.022, ,0.004, ,0.004, ,0.013, ,0.106, ,0.437, ,0.018, ,0.155,313,7.112,7.112,w ,            ,7/10/2013
MT05,TJ8238SW,2/14/2012 16:45,2/21/2012 17:15,201202,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,1055.9,26.162,26.162,  ,f           ,9/17/2012
MT05,TJ7938SW,2/21/2012 17:15,2/28/2012 16:30,201202,5.51,2.7, ,0.017, ,0.005, ,0.005, ,0.028, ,0.103, ,0.29, ,0.047, ,0.08,2241.2,49.784,49.784,w ,            ,
MT05,TJ8214SW,2/28/2012 16:30,3/6/2012 16:30,201203,5.59,3.2, ,0.102, ,0.014, ,0.008, ,0.054, ,0.122, ,0.437, ,0.064, ,0.194,693.5,21.082,21.082,w ,            ,
MT05,TJ8547SW,3/6/2012 16:30,3/13/2012 15:15,201203,5.94,4, ,0.178, ,0.021, ,0.022, ,0.117, ,0.176, ,0.458, ,0.071, ,0.447,552.9,11.176,11.176,w ,            ,
MT05,TJ8699SW,3/13/2012 15:15,3/20/2012 16:00,201203,5.56,2, ,0.049, ,0.006, ,0.009, ,0.01, ,0.042, ,0.132, ,0.017, ,0.092,1483,30.988,30.988,w ,            ,
MT05,TJ9102SW,3/20/2012 16:00,3/27/2012 15:30,201203,5.76,3, ,0.093, ,0.011, ,0.008, ,0.048, ,0.144, ,0.33, ,0.063, ,0.201,1879.9,37.084,37.084,w ,            ,
MT05,TJ9381SW,3/27/2012 15:30,4/3/2012 15:30,201203,6.03,2.9, ,0.151, ,0.016, ,0.019, ,0.045, ,0.106, ,0.239, ,0.039, ,0.194,1639.1,30.226,30.226,w ,            ,
MT05,TJ9644SW,4/3/2012 15:30,4/10/2012 16:00,201204,5.47,3.5, ,0.061, ,0.009, ,0.011, ,0.015, ,0.153, ,0.42, ,0.025, ,0.178,168.3,2.794,2.794,w ,            ,7/10/2013
MT05,TJ9863SW,4/10/2012 16:00,4/17/2012 15:15,201204,5.66,3, ,0.059, ,0.007, ,0.01, ,0.012, ,0.164, ,0.264, ,0.017, ,0.224,1646.9,28.702,28.702,w ,            ,
MT05,TK0071SW,4/17/2012 15:15,4/24/2012 15:15,201204,5.53,3.2, ,0.035, ,0.006, ,0.014, ,0.012, ,0.186, ,0.317, ,0.02, ,0.227,1361.6,21.336,21.336,w ,            ,
MT05,TK0453SW,4/24/2012 15:15,5/1/2012 15:30,201204,5.59,2.5, ,0.03, ,0.008, ,0.04, ,0.009, ,0.078, ,0.177, ,0.02, ,0.118,2309.7,39.624,39.624,w ,            ,
MT05,TK0546SW,5/1/2012 15:30,5/8/2012 15:30,201205,5.55,3.3, ,0.062, ,0.009, ,0.028, ,0.011, ,0.17, ,0.389, ,0.025, ,0.242,500.1,11.176,11.176,w ,            ,
MT05,TK0795SW,5/8/2012 15:30,5/15/2012 15:00,201205,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,0.9,0,0,d ,            ,
MT05,TK1086SW,5/15/2012 15:00,5/22/2012 15:15,201205,5.26,3.2, ,0.03, ,0.006, ,0.006, ,0.01, ,0.069, ,0.285, ,0.023, ,0.141,1110.5,17.526,17.526,w ,            ,
MT05,TK1415SW,5/22/2012 15:15,5/29/2012 17:00,201205,5.42,3.4, ,0.034, ,0.007, ,0.025, ,0.008, ,0.138, ,0.285, ,0.017, ,0.259,1411.7,24.384,24.384,w ,            ,
MT05,TK1556SW,5/29/2012 17:00,6/5/2012 15:30,201206,5.36,4, ,0.064, ,0.008, ,0.02, ,0.016, ,0.139, ,0.357, ,0.031, ,0.275,1444.7,24.13,24.13,w ,            ,
MT05,TK1798SW,6/5/2012 15:30,6/12/2012 14:30,201206,5.54,2.8, ,0.062, ,0.01, ,0.031, ,0.013, ,0.044, ,0.192, ,0.018, ,0.118,4680.8,74.93,74.93,w ,            ,
MT05,TK2075SW,6/12/2012 14:30,6/19/2012 15:45,201206,5.54,2.9, ,0.026, ,0.004, ,0.026, ,0.004, ,0.084, ,0.254, ,0.015, ,0.131,4956.6,73.152,73.152,w ,            ,
MT05,TK2292SW,6/19/2012 15:45,6/26/2012 15:45,201206,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,862.5,12.446,12.446,  ,c           ,7/10/2013
MT05,TK2657SW,6/26/2012 15:45,7/3/2012 16:15,201206,5.34,3.5, ,0.064, ,0.01, ,0.027, ,0.017, ,0.1, ,0.303, ,0.031, ,0.203,2795.4,44.196,44.196,w ,            ,7/10/2013
MT05,TK2898SW,7/3/2012 16:15,7/10/2012 15:45,201207,5.23,4, ,0.043, ,0.01, ,0.064, ,0.01, ,0.122, ,0.329, ,0.034, ,0.228,126.7,2.286,2.286,w ,            ,
MT05,TK3074SW,7/10/2012 15:45,7/17/2012 15:30,201207,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,1062.5,17.526,17.526,  ,u           ,7/10/2013
MT05,TK3364SW,7/17/2012 15:30,7/24/2012 16:00,201207,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,1.8,1.778,1.778,  ,vu          ,
MT05,TK3591SW,7/24/2012 16:00,7/31/2012 16:30,201207,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,4.9,3.048,3.048,  ,vu          ,
MT05,TK3895SW,7/31/2012 16:30,8/7/2012 15:30,201208,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,547,8.636,8.636,  ,u           ,
MT05,TK4203SW,8/7/2012 15:30,8/14/2012 16:30,201208,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,7.6,0,0,d ,            ,
MT05,TK4373SW,8/14/2012 16:30,8/21/2012 15:45,201208,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,5.4,0,0,d ,            ,
MT05,TK4790SW,8/21/2012 15:45,8/28/2012 15:30,201208,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,168.5,2.54,2.54,  ,c           ,
MT05,TK4944SW,8/28/2012 15:30,9/4/2012 16:00,201209,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,1.5,0,0,d ,            ,
MT05,TK5112SW,9/4/2012 16:00,9/11/2012 15:45,201209,5.84,3.7, ,0.2, ,0.026, ,0.042, ,0.009, ,0.174, ,0.43, ,0.025, ,0.256,477.1,7.366,7.366,w ,            ,
MT05,TK5395SW,9/11/2012 15:45,9/18/2012 16:00,201209,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,2.9,0,0,d ,            ,
MT05,TK5637SW,9/18/2012 16:00,9/25/2012 15:30,201209,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,2,0,0,d ,            ,
MT05,TK5959SW,9/25/2012 15:30,10/2/2012 15:15,201209,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,2.6,0,0,d ,            ,
MT05,TK6172SW,10/2/2012 15:15,10/9/2012 16:45,201210,5.52,3.5, ,0.103, ,0.013, ,0.025, ,0.011, ,0.129, ,0.341, ,0.016, ,0.259,1315.7,19.558,19.558,w ,            ,
MT05,TK6430SW,10/9/2012 16:45,10/16/2012 15:30,201210,5.37,3.1, ,0.025, ,0.004, ,0.012, ,0.005, ,0.083, ,0.224, ,0.013, ,0.155,2468.4,37.084,37.084,w ,            ,
MT05,TK6673SW,10/16/2012 15:30,10/23/2012 16:30,201210,5.33,3.6, ,0.022, ,0.003, ,0.009, ,0.009, ,0.109, ,0.245, ,0.013, ,0.264,2295.6,45.466,45.466,w ,            ,7/24/2013
MT05,TK6961SW,10/23/2012 16:30,10/30/2012 15:15,201210,5.11,2.8, ,0.009,<,0.002, ,0.005, ,0.005, ,0.035, ,0.191, ,0.011, ,0.095,2690.1,47.244,47.244,w ,            ,
MT05,TK7176SW,10/30/2012 15:15,11/6/2012 16:30,201211,5.48,3.1, ,0.031, ,0.004, ,0.013, ,0.039, ,0.117, ,0.298, ,0.024, ,0.138,2101.9,34.544,34.544,w ,            ,7/24/2013
MT05,TK7494SW,11/6/2012 16:30,11/13/2012 16:30,201211,5.49,2.5, ,0.016, ,0.002, ,0.012, ,0.004, ,0.075, ,0.183, ,0.017, ,0.09,885.5,15.24,15.24,w ,            ,
MT05,TK7626SW,11/13/2012 16:30,11/20/2012 16:30,201211,5.53,2.3, ,0.031, ,0.004, ,0.007, ,0.02, ,0.069, ,0.198, ,0.021, ,0.081,1914.9,31.496,31.496,w ,            ,
MT05,TK8034SW,11/20/2012 16:30,11/27/2012 17:15,201211,5.43,2.2, ,0.006,<,0.002,<,0.003, ,0.006, ,0.025, ,0.117,<,0.009, ,0.062,3286.3,50.292,50.292,w ,            ,
MT05,TK8231SW,11/27/2012 17:15,12/4/2012 17:00,201212,5.37,2.5, ,0.008,<,0.002, ,0.003, ,0.006, ,0.021, ,0.119, ,0.01, ,0.082,2781.4,45.974,45.974,w ,            ,
MT05,TK8508SW,12/4/2012 17:00,12/11/2012 17:30,201212,5.36,2.5,<,0.027,<,0.009, ,0.004, ,0.012, ,0.03, ,0.192, ,0.02, ,0.076,1792.9,37.084,37.084,w ,            ,
MT05,TK8854SW,12/11/2012 17:30,12/18/2012 16:45,201212,5.37,3.2,<,0.027,<,0.009, ,0.003, ,0.018, ,0.069, ,0.385, ,0.03, ,0.106,1159.1,24.638,24.638,w ,            ,
MT05,TK8992SW,12/18/2012 16:45,12/24/2012 16:30,201212,5.77,3.7, ,0.282, ,0.021, ,0.028, ,0.158, ,0.074, ,0.539, ,0.047, ,0.232,1345.9,27.178,27.178,w ,            ,
MT05,TK9263SW,12/24/2012 16:30,12/31/2012 16:45,201212,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,19.7,1.778,1.778,  ,v           ,
MT05,TK9604SW,12/31/2012 16:45,1/8/2013 16:45,201301,5.39,2.8,<,0.027,<,0.009, ,0.002, ,0.009, ,0.069, ,0.324, ,0.018, ,0.081,1034.8,18.542,18.542,w ,            ,7/25/2014
MT05,TK9885SW,1/8/2013 16:45,1/15/2013 17:15,201301,5.43,2.4,<,0.027,<,0.009, ,0.005, ,0.02, ,0.047, ,0.239, ,0.039, ,0.067,710.9,17.526,17.526,w ,            ,7/25/2014
MT05,TL0111SW,1/15/2013 17:15,1/22/2013 17:00,201301,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,3.7,0,0,d ,            ,
MT05,TL0234SW,1/22/2013 17:00,1/29/2013 17:30,201301,5.33,2.9,<,0.027,<,0.009, ,0.004, ,0.018, ,0.08, ,0.327, ,0.025, ,0.077,1266.5,24.384,24.384,w ,            ,7/25/2014
MT05,TL0672SW,1/29/2013 17:30,2/5/2013 17:00,201302,5.16,6.1, ,0.066,<,0.02, ,0.01, ,0.034, ,0.248, ,0.846, ,0.07, ,0.293,64.1,2.286,2.286,wd,            ,7/25/2014
MT05,TL0844SW,2/5/2013 17:00,2/12/2013 17:00,201302,5.54,2.8, ,0.034,<,0.009, ,0.005, ,0.027, ,0.139, ,0.315, ,0.042, ,0.093,342.3,7.112,7.112,w ,            ,7/25/2014
MT05,TL1077SW,2/12/2013 17:00,2/19/2013 17:45,201302,5.45,3.4,<,0.027,<,0.009, ,0.006, ,0.019, ,0.157, ,0.394, ,0.029, ,0.207,1206.3,22.606,22.606,w ,            ,7/25/2014
MT05,TL1372SW,2/19/2013 17:45,2/26/2013 17:15,201302,5.44,3, ,0.041,<,0.009, ,0.005, ,0.034, ,0.168, ,0.427, ,0.055, ,0.17,903.8,22.098,22.098,w ,            ,7/25/2014
MT05,TL1671SW,2/26/2013 17:15,3/5/2013 17:15,201303,4.98,7.1, ,0.099, ,0.012, ,0.013, ,0.03, ,0.111, ,0.967, ,0.078, ,0.322,1276.8,23.368,23.368,w ,            ,7/25/2014
MT05,TL1942SW,3/5/2013 17:15,3/12/2013 15:45,201303,5.75,4.1, ,0.07,<,0.009, ,0.01, ,0.056, ,0.283, ,0.685, ,0.05, ,0.296,434.9,7.874,7.874,w ,            ,7/25/2014
MT05,TL2147SW,3/12/2013 15:45,3/19/2013 15:45,201303,5.57,2.6, ,0.038,<,0.009, ,0.007, ,0.014, ,0.119, ,0.197, ,0.023, ,0.188,2521.9,42.418,42.418,w ,            ,7/25/2014
MT05,TL2512SW,3/19/2013 15:45,3/26/2013 20:00,201303,5.68,2.4, ,0.052,<,0.009, ,0.009, ,0.019, ,0.121, ,0.25, ,0.022, ,0.153,516.1,8.636,8.636,w ,            ,7/25/2014
MT05,TL2748SW,3/26/2013 20:00,4/2/2013 16:15,201303,5.9,4.7, ,0.077, ,0.01, ,0.011, ,0.016, ,0.412, ,0.604, ,0.041, ,0.373,177.7,3.302,3.302,w ,            ,7/25/2014
MT05,TL2985SW,4/2/2013 16:15,4/9/2013 15:45,201304,5.88,2.7, ,0.051,<,0.009, ,0.008, ,0.012, ,0.196, ,0.263, ,0.027, ,0.159,984.1,17.526,17.526,w ,            ,7/25/2014
MT05,TL3337SW,4/9/2013 15:45,4/16/2013 15:15,201304,5.88,3.4, ,0.06,<,0.009, ,0.01, ,0.013, ,0.315, ,0.351, ,0.025, ,0.268,986.7,17.78,17.78,w ,            ,7/25/2014
MT05,TL3539SW,4/16/2013 15:15,4/23/2013 15:45,201304,5.86,2.8, ,0.051,<,0.009, ,0.01, ,0.012, ,0.226, ,0.268, ,0.018, ,0.239,1147.3,20.066,20.066,w ,            ,7/25/2014
MT05,TL3858SW,4/23/2013 15:45,4/30/2013 15:30,201304,5.86,2.4, ,0.122, ,0.017, ,0.032, ,0.011, ,0.098, ,0.188, ,0.02, ,0.173,354.6,5.842,5.842,w ,            ,7/25/2014
MT05,TL4071SW,4/30/2013 15:30,5/7/2013 15:45,201305,5.33,5, ,0.097, ,0.014, ,0.011, ,0.021, ,0.225, ,0.617, ,0.034, ,0.443,246.3,5.334,5.334,w ,            ,7/25/2014
MT05,TL4370SW,5/7/2013 15:45,5/14/2013 15:30,201305,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,97,1.524,1.524,  ,c           ,7/25/2014
MT05,TL4595SW,5/14/2013 15:30,5/21/2013 15:00,201305,5.62,2.9, ,0.028,<,0.009, ,0.009, ,0.007, ,0.142, ,0.292, ,0.017, ,0.17,377.7,6.35,6.35,w ,            ,7/25/2014
MT05,TL4843SW,5/21/2013 15:00,5/28/2013 15:15,201305,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,2768,41.656,41.656,  ,c           ,7/25/2014
MT05,TL5176SW,5/28/2013 15:15,6/4/2013 15:30,201306,5.26,3.7,<,0.027,<,0.009, ,0.018, ,0.006, ,0.116, ,0.362, ,0.017, ,0.199,570.9,8.89,8.89,w ,            ,7/25/2014
MT05,TL5443SW,6/4/2013 15:30,6/11/2013 15:30,201306,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,7,0,0,d ,            ,
MT05,TL5707SW,6/11/2013 15:30,6/18/2013 15:30,201306,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,546.5,8.382,8.382,  ,c           ,7/25/2014
MT05,TL5989SW,6/18/2013 15:30,6/25/2013 15:45,201306,5.79,4, ,0.165, ,0.029, ,0.093, ,0.026, ,0.142, ,0.487, ,0.059, ,0.235,3306.2,58.928,58.928,w ,            ,7/25/2014
MT05,TL6212SW,6/25/2013 15:45,7/2/2013 15:45,201306,5.27,3.2,<,0.027,<,0.009, ,0.024, ,0.004, ,0.027, ,0.266, ,0.018, ,0.058,462.9,6.858,6.858,w ,            ,7/25/2014
MT05,TL6531SW,7/2/2013 15:45,7/9/2013 16:00,201307,5.5,4.4, ,0.123, ,0.021, ,0.026, ,0.032, ,0.226, ,0.552, ,0.039, ,0.292,471.1,7.62,7.62,w ,            ,7/25/2014
MT05,TL6740SW,7/9/2013 16:00,7/16/2013 16:00,201307,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,0,0,0,d ,            ,
MT05,TL7102SW,7/16/2013 16:00,7/23/2013 17:15,201307,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,6.4,0.254,0.254,  ,v           ,
MT05,TL7276SW,7/23/2013 17:15,7/30/2013 15:45,201307,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,6.9,0,0,d ,            ,
MT05,TL7524SW,7/30/2013 15:45,8/6/2013 15:30,201308,5.14,3.8, ,0.04,<,0.009, ,0.039, ,0.004, ,0.057, ,0.281, ,0.013, ,0.083,2033.1,30.734,30.734,w ,            ,7/25/2014
MT05,TL7889SW,8/6/2013 15:30,8/13/2013 16:00,201308,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,410.6,5.842,5.842,  ,c           ,7/25/2014
MT05,TL8140SW,8/13/2013 16:00,8/20/2013 15:45,201308,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,1.8,0,0,d ,            ,
MT05,TL8327SW,8/20/2013 15:45,8/27/2013 15:45,201308,6.76,34.2, ,1.507, ,0.153, ,0.331, ,0.122, ,3.317, ,3.511, ,0.225, ,1.445,70.1,1.27,1.27,w ,            ,7/25/2014
MT05,TL8591SW,8/27/2013 15:45,9/3/2013 15:45,201308,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,43.6,4.064,4.064,  ,c           ,7/25/2014
