"date_time","lodge","lodge_lwr","lodge_upr","volume_change","lake_volume","volume_change_lwr","lake_volume_lwr","volume_change_upr","lake_volume_upr","mean_tn","min_tn","max_tn","mean_tp","min_tp","max_tp","kg_N","kg_N_lwr","kg_N_upr","kg_P","kg_P_lwr","kg_P_upr"
2018-07-10 17:00:00,3.95943088508627,3.84974205055019,4.06799667922855,92717.2813152991,1503946000.66146,-21793.4728986661,1503922320.30448,59468.1749994576,1503931596.53248,605,390,820,18,16,20,909887.330400183,586538.940257969,1233235.7205424,27071.0280119063,24063.1360105834,30078.9200132292
2018-09-18 19:00:00,3.53268401403329,3.42155939404932,3.6397836569165,50351.570426181,1492077884.18064,27845.2714318161,1492014273.66812,-76843.47336635,1492022705.40256,321,140,1445,41.8,15,160,478957.000821985,208890.90378529,2156052.54264103,62368.8555587507,22381.1682627096,238732.461468902
2022-04-26 15:00:00,3.81928450310795,3.71277714150411,3.9281352742264,168653.864594423,1500048435.85547,248072.195736685,1500113234.3929,148015.347198917,1500041957.12718,157.333333333333,144,181,3.56666666666667,2.2,5,236007.620574594,216006.974763188,271508.76688984,5350.17275455118,3300.10655888203,7500.24217927735
2022-05-24 17:00:00,4.1453351434141,4.03441309884011,4.25429795410587,-58775.3335660314,1509116122.67471,-197712.632892424,1509058145.92011,-87667.9096656258,1509112759.84204,141.666666666667,137,144,2.33333333333333,2,2.6,213791.450712251,206748.908806435,217312.721665158,3521.27095290766,3018.23224534942,3923.70191895425
2022-06-07 15:00:00,4.71625428574987,4.60687233867592,4.82664476248201,16669.752096442,1524993766.64114,76407.379234993,1524978621.03016,83832.597913166,1525030108.15785,142.666666666667,139,148,2.25,1.8,2.7,217565.777374136,211974.133563118,225699.077462889,3431.23597494257,2744.98877995405,4117.48316993108
2022-06-28 16:00:00,4.50566435592965,4.3925586525136,4.61321398181537,18868.9478870879,1519137119.55987,-89273.6931942836,1519018413.78943,19746.0054124791,1519094455.11066,143,134,154,3.5,2.5,4.3,217236.608097061,203564.374021023,233947.11641222,5316.97991845954,3797.84279889968,6532.28961410744
2022-07-19 17:00:00,4.01998943895163,3.90857163622097,4.12918528307053,-158833.686363881,1505630174.62953,-172549.453091647,1505558410.50835,-127758.097485728,1505633292.61265,125.333333333333,122,128,1.75,1.5,2,188705.648553568,183686.881304803,192720.66235258,2634.85280560168,2258.44526194429,3011.26034925906
2022-08-02 17:00:00,3.81824945327024,3.70863505230878,3.93050992042703,19263.7458861011,1500019650.42581,-27233.3951437489,1499998040.11643,160017.749299566,1500107997.62946,129.666666666667,123,138,4.46666666666667,3.4,6.5,194502.548005213,184502.417002375,207002.711758762,6700.08777190195,5100.06681144775,9750.12772776777
2022-09-06 18:00:00,3.58926285124141,3.4778616947147,3.69660449299967,65299.4593164692,1493651379.56135,-101621.081696999,1493580078.38225,75212.7003049986,1493602930.93417,123.666666666667,105,137,5.86666666666667,2,9.1,184714.88727242,156833.394853942,204630.238999905,8762.75476009325,2987.3027591227,13592.2275540083
2022-09-20 16:00:00,3.53083535087882,3.42157697701523,3.64197459785474,-140738.104256,1492026471.61938,-111764.895797965,1492014762.66219,-74474.5800567933,1492083636.93838,101.033333333333,97.4,106,2.16666666666667,1.8,2.6,150744.407849278,145323.378335728,158154.805991654,3232.72402184199,2685.64764891488,3879.26882621039
2023-05-09 20:00:00,4.46398525873608,4.35616825775138,4.57373549770085,-172379.746390027,1517977995.93446,-62794.2811632157,1518006372.52302,-161229.151257054,1517996532.00978,119,119,119,1.7,1.7,1.7,180639.381516201,180639.381516201,180639.381516201,2580.56259308858,2580.56259308858,2580.56259308858
2023-07-11 14:00:00,3.70415377741078,3.59862064434707,3.81365898148437,60574.7757225076,1496846573.21563,102405.230234141,1496938465.70166,135812.262176249,1496858294.7064,156,152,160,5.15,4.3,6,233508.065421638,227520.679128776,239495.451714501,7708.7598520605,6436.44026482721,8981.07943929378
2023-09-19 18:00:00,3.56359492810877,3.45752194274218,3.67200089848375,-27751.5859478669,1492937537.41694,69135.7718396957,1493014416.24863,-41395.3248064783,1492918688.48187,151.5,145,158,4.75,2.7,6.8,226180.036918666,216475.942925456,235884.130911877,7091.45330273047,4030.93135102574,10151.9752544352
