"start_date","end_date","umc_m3","umc_m3_lwr","umc_m3_upr","sny_m3","sny_m3_lwr","sny_m3_upr","spr_m3","spr_m3_lwr","spr_m3_upr","fish_m3","fish_m3_lwr","fish_m3_upr","lmc_m3","lmc_m3_lwr","lmc_m3_upr","Le_m3","Le_m3_lwr","Le_m3_upr","Lw_m3","lake_volume","lake_volume_lwr","lake_volume_upr","resid","resid_upr","resid_lwr"
2008-03-11 14:00:00,2008-03-18,6082402.83262874,2260636.5929223,16360138.4702129,27208.8460699574,10782.69992402,66494.6648784966,36271.3504457147,43.0640251558662,7845543.52345178,49975.6145257941,3896.69596128791,620937.591639929,2526303.9250995,1273659.24219075,5004949.79558576,536445.562141079,534604.20129409,538048.856669352,480345.895333415,1491951183.63692,1491752998.15605,1492028395.49013,-3698591.38006304,-917283.018561349,-19760822.5485714
2008-03-18 15:00:00,2008-03-25,6072758.49067739,2260361.17307752,16310605.8434931,27198.5529209095,10767.606776543,66306.1905552175,36260.9351133981,42.3800820572755,7845543.52345178,49975.8653254726,3864.72943158224,616337.262719534,2528275.10500119,1273971.35689455,5006480.64036023,537056.337674708,534912.447733002,538856.432758006,120086.473833354,1491866047.30862,1491822637.10074,1492058553.97625,-3193178.0268646,-602751.752823372,-19423928.8957247
2008-03-25 16:00:00,2008-04-01,6029437.26054301,2249162.18209509,16162726.5456792,27010.53124632,10698.9100293796,65878.25112781,35985.9469773127,42.4591992865185,7799120.18899349,49516.2941374404,3842.23126583628,612340.063581715,2507833.78778202,1264900.69742983,4970414.27981191,605374.336093407,602766.948139697,607914.143299383,974819.611117813,1491913818.15695,1491812250.42595,1492042040.782,-3968887.61659656,-1464730.46597783,-20022797.1312188
2008-04-01 16:00:00,2008-04-08,5966702.51106504,2217605.05214486,16016779.1006109,26259.5629702539,10367.775746413,64334.127661731,35502.1715177322,40.0903052728696,7799120.18899349,48333.7578369595,3709.56326524648,601550.62200657,2458451.72062797,1241494.31211728,4869283.14742536,613087.645299841,610430.834708644,615384.926785892,120086.473833354,1491948492.0605,1491826009.53212,1491948208.06416,2078997.24679463,4757019.78894074,-13920020.3488548
2008-04-08 16:00:00,2008-04-15,6715295.94008929,2498703.68120146,18039668.7457186,35677.3541572815,14505.8659612527,84783.6727758039,40029.8613643059,92.8347199032302,7678949.85662311,63391.0915641804,5350.58779574997,732725.311225721,3021992.05799027,1523782.53566795,5996401.91125157,775111.733432393,771633.865419315,777831.26379965,105958.653382371,1497152834.41859,1497023191.62216,1497205111.66157,-3220698.57509479,-411127.587743574,-19879144.2482343
2008-04-15 15:00:00,2008-04-22,11077012.3279788,4112878.78398039,29780073.9424243,104765.444619061,45951.218798014,234828.736103584,65384.3524477466,680.046108287802,5541217.328844,166503.81729507,17261.2327994206,1604839.99935342,6671465.24021922,3364129.22884208,13234584.7173632,542911.180620924,540628.627180569,544391.675076258,77703.0124804054,1497095384.95263,1497011900.4386,1497123179.2958,-2692347.37313085,1200152.0120462,-21780852.5784163
2008-04-22 15:00:00,2008-04-29,10135120.6063768,3765539.16956166,27214129.5375494,85979.2646004488,37478.7608244114,194452.850816613,59492.3507893639,465.980750248079,6446754.38960114,140025.87420238,14181.3593908901,1390850.17546592,5773719.22930677,2913789.59860719,11448050.665731,724568.621946463,720699.801450927,727192.667977818,254300.76811769,1498680030.11348,1498690734.48695,1498673047.74599,5797473.62764631,9532038.46821329,-13356138.2360318
2008-04-29 15:00:00,2008-05-06,16636724.4625784,6194482.50907862,44887530.3042061,264338.989021899,119462.073353297,586350.528270184,97263.8653612434,2749.93275411082,3470573.34268669,380959.269912366,41679.9274209234,3589984.68558938,12906125.9277291,6502591.29339353,25599575.8217786,859874.324969016,857140.095283772,861783.840790745,204853.396539251,1508654134.75396,1508659840.63876,1508642562.85279,-2638225.41952494,2062254.77427089,-25128879.9118023
2008-05-06 15:00:00,2008-05-13,23788383.597518,8845019.61549252,63795541.6757647,578631.510383258,259009.659561245,1306349.13291915,138098.264224567,5350.79539719463,3763808.50878957,772657.037383891,81863.3769333472,7635968.05151785,22856043.5291233,11504780.6893198,45242970.7742525,746272.238680253,744366.585169133,747697.750680713,1003075.25201978,1509834049.06515,1509808893.32168,1509908314.07753,29042184.089924,33686211.061455,165708.762732191
2008-05-13 15:00:00,2008-05-20,32687171.7058566,12201038.5765884,87836685.7259697,1309623.08756736,552471.29531668,3189495.57229166,188755.283475875,5029.57093090798,5832744.69223737,1574947.65749169,140577.990511706,19446954.3846768,39645295.2212069,20002798.9256018,78664705.7355068,896018.394334502,891036.71946833,901179.456855626,49447.3715784398,1541554763.0488,1541488676.18049,1541539696.5639,-2847899.91709864,406024.227264033,-44352594.2222515
