"Date","TN_kg_m2","TP_kg_m2","TN_dry_kg","TP_dry_kg"
2007-09-01,0.00000626402011064831,0.000000701559490954183,174.20659729249,19.5108396139441
2007-09-24,0.0000143422367651267,0.000000894725512702299,398.867216305501,24.8829161345898
2007-10-04,0.0000114729175892658,0.000000327466039235636,319.069527067067,9.1070500120385
2007-10-22,0.0000109249133127723,0.000000253917236335888,303.829160876768,7.06160851252596
2007-11-14,0,0,0,0
2007-11-21,0.00000542679813042511,0.000000116906743823726,150.922892933809,3.25125489419417
2007-12-04,0.00000461488455692983,0.0000000841741470859432,128.343032327397,2.34093944221422
2007-12-12,0.0000207030944167117,0.0000000649213141076595,575.766930509936,1.80550525424187
2008-01-02,0.0000495432033957585,0.000000134571380878191,1377.82968925551,3.74252028914943
2008-01-14,0.0000132550538933579,0.000000091493116276112,368.631932034373,2.544484880413
2008-01-22,0.00000972261613303234,0.000000147709134844679,270.392470553759,4.10789003160558
2008-02-01,0.0000073100569139296,0.0000000875457060188865,203.297581823746,2.4347047556877
2008-02-11,0.00000769830599980923,0.0000000487330068996216,214.095049098481,1.35529758172118
2008-02-28,0.0000150633302247941,0.0000000772809545006518,418.921308680618,2.14923513674366
2008-03-06,0.00000449324190963721,0.0000000221960605386156,124.96006878383,0.617287318914776
2008-03-19,0.0000115508524069187,0.0000000757940733204032,321.236946576279,2.10788397464426
2008-04-08,0.0000165727203904486,0.000000314895043082891,460.898460749212,8.75744218421176
2008-04-17,0.0000154090145782328,0.000000271971337954278,428.535022220176,7.56370517801497
2008-05-02,0,0,0,0
2008-05-13,0,0,0,0
2008-05-16,0.0000038038059203205,0.0000000943699325935582,105.786391875341,2.62449107018335
2008-05-22,0.0000135984425153413,0.000000524000548472227,378.181799743609,14.5728064272286
2008-05-27,0.00000556591425391879,0.0000000914874630377412,154.791805560887,2.54432766006522
2008-06-02,0.00000748621629677912,0.000000205263465390608,208.196692319127,5.7085145357973
2008-06-10,0.0000150269493974754,0.000000398173571587549,417.909533491215,11.0734738734556
2008-06-13,0,0,0,0
2008-06-26,0.00000387072758894789,0.000000490216373088296,107.647528329373,13.6332458683532
2008-07-03,0.00000625271155766113,0.00000182942345235446,173.89209885516,50.8774922513403
2008-07-10,0.00000652273989380306,0.00000310940324949922,181.401767850615,86.4745882256446
2008-07-18,0.00000445978010238148,0.00000104403248863311,124.029473498644,29.0352431976405
2008-07-23,0.00000290352676862421,0.000000299722349050905,80.7490253183959,8.3354793947598
2008-07-31,0.000010170342510572,0.00000323815622714699,282.844041169998,90.0552948215838
2008-08-07,0.00000272109196209977,0.000000378151950653397,75.6753910849569,10.5166591772049
2008-08-14,0.00000558282963975708,0.00000125583431369432,155.262233777388,34.9255938977491
2008-08-22,0.00000372057699278242,0.000000845692521700423,103.47173962222,23.5192757939418
2008-09-01,0.00000534103906712028,0.00000132024905090458,148.53787590937,36.7170109089771
2008-09-08,0.00000146209827509459,0.000000154445148008012,40.6619328980867,4.29522307201312
2008-09-11,0.000000690612279418778,0.0000000776396680550698,19.2063903245521,2.15921120109435
