"date","LE_mm_d","LE_mm_d_min","LE_mm_d_max","L3E_m3_d","L3E_m3_d_min","L3E_m3_d_max"
2007-10-01,1.23417518418751,1.23222790462664,1.23731305590211,34323.2389906688,34269.083841055,34410.5053059878
2007-10-02,0.73071292805191,0.729628975702047,0.732994873727662,20321.6162376561,20291.4707963642,20385.0786762111
2007-10-03,1.68384683672834,1.67810791032203,1.68960913388838,46828.9090083728,46669.3056189046,46989.1623541645
2007-10-04,1.91705467756086,1.91056429648735,1.92711096997222,53314.5753529459,53134.0735055738,53594.247584423
2007-10-05,1.15568252949632,1.15270446184022,1.15854459830603,32140.3056595702,32057.4836022152,32219.9017112669
2007-10-06,1.36808127647873,1.36339935671109,1.3755299931567,38047.2571583521,37917.0498318891,38254.4109611407
2007-10-07,0.770357696150071,0.76668293030209,0.772783198350869,21424.163807561,21321.9661065773,21491.618649286
2007-10-08,1.28185280272057,1.27665770708186,1.28796130306419,35649.1855146168,35504.7064232598,35819.067002962
2007-10-09,2.9222181433067,2.90252629156764,2.95331103627564,81268.8449748847,80721.2013809538,82133.5591661579
2007-10-10,1.36557795145891,1.35811653100282,1.37939726951645,37977.6380118749,37770.130908503,38361.9625084731
2007-10-11,1.76780781391123,1.7631294245044,1.77527751745753,49163.920052721,49033.8109079582,49371.6575143828
2007-10-12,2.17716220015799,2.17070023264755,2.18478459977778,60548.3398749975,60368.6282278566,60760.3239167967
2007-10-13,2.29844856729437,2.289138335737,2.31307528074436,63921.3950286487,63662.4712495157,64328.1737322105
2007-10-14,2.8469056432515,2.83261142469046,2.86771502659323,79174.353875486,78776.8220776169,79753.0767722333
2007-10-15,2.71958257862485,2.70250601433065,2.73865710740041,75633.4141189621,75158.5034215839,76163.8895475609
2007-10-16,1.21308157780064,1.2072672115173,1.21830227807161,33736.6116605558,33574.9102375493,33881.8028338958
2007-10-17,1.25483433265288,1.24957196803535,1.25937692639645,34897.7837548203,34751.4338680799,35024.1163311803
2007-10-18,1.12689968785486,1.123264140897,1.12998119232148,31339.8355438623,31238.7285464966,31425.5342482389
2007-10-19,0.738447941055679,0.737137952869988,0.740807855384474,20536.732133135,20500.3004837642,20602.362932184
2007-10-20,0.929430473671196,0.927375076345425,0.932085293812458,25848.0843576743,25790.9223805603,25921.9166850078
2007-10-21,0.929150054087739,0.927148229085317,0.932058846847437,25840.285701127,25784.6136062284,25921.1811771863
2007-10-22,0.69542991296001,0.693837470807559,0.696924120742665,19340.3719420111,19296.0850585299,19381.9268618335
2007-10-23,2.37923757589233,2.37426765140412,2.39083193775753,66168.191500863,66029.9745701064,66490.6384746333
2007-10-24,2.33544178769793,2.3224011220965,2.35006681057517,64950.2012801548,64587.5316301976,65356.9329677556
2007-10-25,2.07769114415511,2.06866489845072,2.08693507764355,57781.9831441347,57530.9572018943,58039.0631295392
2007-10-26,2.49165490725325,2.4816617663252,2.50531082842562,69294.5928257561,69016.6768793528,69674.3731454727
2007-10-27,2.23571430568743,2.22697691909999,2.25031604057986,62176.7131701688,61933.720593558,62582.7972033048
2007-10-28,1.97881301088223,1.97199386665203,1.99126764164914,55032.1159917574,54842.4710206676,55378.4876202186
2007-10-29,1.57397119283711,1.56950700207017,1.58288593675076,43773.1937153974,43649.0415783616,44021.1187181111
2007-10-30,2.34496588526667,2.33734131938484,2.35680906978985,65215.0728163926,65003.0285293941,65544.4397150369
2007-10-31,1.72430936330283,1.71928608156978,1.72901886839324,47954.1989895489,47814.4981580543,48085.173482325
2007-11-01,1.75259144061178,1.7446390587499,1.75852037582475,48740.7425135678,48519.5814444688,48905.630175289
2007-11-02,1.82819620012977,1.81807438543328,1.83561914202262,50843.3615444929,50561.867094355,51049.7985332337
2007-11-03,0.821912986809132,0.819276660301961,0.824059243944879,22857.9509920677,22784.6329850924,22917.6398413895
2007-11-04,1.02790532832372,1.02336424372419,1.03004481851031,28586.7360613504,28460.4454552975,28646.2367172812
2007-11-05,1.68635545337087,1.67842365517138,1.69522843058807,46898.6753184238,46678.0866947707,47145.4387613181
2007-11-06,1.610783870095,1.60384845267825,1.6191613711253,44796.9789410263,44604.1003346946,45029.9628591052
2007-11-07,0.50914449531184,0.508788684539656,0.509741835717083,14159.6496326219,14149.7542965905,14176.2620696168
2007-11-08,0.680774887564103,0.680029633351509,0.681889383898533,18932.8058642592,18912.0798451531,18963.8007542318
2007-11-09,1.13542933842815,1.13279474998792,1.13904766384016,31577.050842699,31503.7811725302,31677.6788973329
2007-11-10,0.337113890733663,0.335822955572452,0.337684796171421,9375.36322798707,9339.46145599602,9391.24049082001
2007-11-11,1.19839171214289,1.19507236956373,1.20247886149521,33328.0766517728,33235.7635100925,33441.7430143829
2007-11-12,0.395866672631894,0.394549531700837,0.397181362844631,11009.3174674634,10972.6868954503,11045.8798833575
