"dateOn","dateOff","TN_wet_kg"
2007-09-25 15:00:00,2007-10-02 15:00:00,135.961379372861
2007-10-02 15:00:00,2007-10-09 15:00:00,113.104436057054
2007-10-09 15:00:00,2007-10-16 15:00:00,7.4523100517506
2007-10-16 15:00:00,2007-10-23 15:00:00,61.7707892824642
2007-10-23 15:00:00,2007-10-30 15:00:00,49.9825251837205
2007-10-30 15:00:00,2007-11-06 17:00:00,NA
2007-11-06 17:00:00,2007-11-13 16:00:00,190.745577537597
2007-11-13 16:00:00,2007-11-20 17:00:00,71.7986158783318
2007-11-20 17:00:00,2007-11-27 16:00:00,14.3757487143891
2007-11-27 16:00:00,2007-12-04 16:00:00,53.3985150400924
2007-12-04 16:00:00,2007-12-11 15:00:00,27.8194253692853
2007-12-11 15:00:00,2007-12-18 17:00:00,97.3979044438071
2007-12-18 17:00:00,2007-12-24 16:00:00,55.7861470261879
2007-12-24 16:00:00,2007-12-31 17:00:00,66.7585763977969
2007-12-31 17:00:00,2008-01-08 16:00:00,NA
2008-01-08 16:00:00,2008-01-15 16:00:00,93.0931487973354
2008-01-15 16:00:00,2008-01-22 16:00:00,39.8114682276328
2008-01-22 16:00:00,2008-01-29 17:00:00,115.590237069137
2008-01-29 17:00:00,2008-02-05 16:00:00,112.653003224353
2008-02-05 16:00:00,2008-02-12 16:00:00,151.106198954983
2008-02-12 16:00:00,2008-02-19 16:00:00,90.0275048923599
2008-02-19 16:00:00,2008-02-26 16:00:00,NA
2008-02-26 16:00:00,2008-03-04 17:00:00,103.756653031865
2008-03-04 17:00:00,2008-03-11 14:00:00,32.9052420971902
2008-03-11 14:00:00,2008-03-18 15:00:00,165.567771212582
2008-03-18 15:00:00,2008-03-25 16:00:00,55.0790426246528
2008-03-25 16:00:00,2008-04-01 16:00:00,206.016031457348
2008-04-01 16:00:00,2008-04-08 16:00:00,80.5780248243814
2008-04-08 16:00:00,2008-04-15 15:00:00,118.560522931853
2008-04-15 15:00:00,2008-04-22 15:00:00,NA
2008-04-22 15:00:00,2008-04-29 15:00:00,129.067186556836
2008-04-29 15:00:00,2008-05-06 15:00:00,140.209850515883
2008-05-06 15:00:00,2008-05-13 15:00:00,268.321907490678
2008-05-13 15:00:00,2008-05-20 16:00:00,8.95345268068641
2008-05-20 16:00:00,2008-05-27 15:00:00,119.767160690849
2008-05-27 15:00:00,2008-06-03 15:00:00,114.265419535142
2008-06-03 15:00:00,2008-06-10 15:00:00,158.537223068065
2008-06-10 15:00:00,2008-06-17 15:00:00,44.3946390535365
2008-06-17 15:00:00,2008-06-24 15:00:00,NA
2008-06-24 15:00:00,2008-07-01 19:00:00,87.2058734524771
2008-07-01 20:00:00,2008-07-08 16:00:00,63.9857370774619
2008-07-08 16:00:00,2008-07-15 15:00:00,NA
2008-07-15 15:00:00,2008-07-22 15:00:00,NA
2008-07-22 15:00:00,2008-07-29 16:00:00,79.8335539207958
2008-07-29 16:00:00,2008-08-05 16:00:00,NA
